name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Sebastian Saiz,35,0.35200000000000004,0.41,0.64,0.152,0.24,0.6,2013-14,OleMiss
Aaron Jones,35,0.292,0.26899999999999996,0.5379999999999999,0.098,0.10300000000000001,0.33299999999999996,2013-14,OleMiss
Demarco Cox,27,0.25,0.213,0.526,0.444,0.5,0.25,2013-14,OleMiss
Dwight Coleby,12,0.364,0.35,0.583,0,0,NA,2013-14,OleMiss
Anthony Perez,8,0.162,0.192,0.833,0.038,0,0,2013-14,OleMiss
Martavious Newby,8,0.188,0.059000000000000004,0.16699999999999998,0.667,0.667,1,2013-14,OleMiss
Ladarius White,4,0.023,0.038,1,0.023,0,0,2013-14,OleMiss
Marshall Henderson,3,0.026000000000000002,0.05,1,0.027999999999999997,0.043,0.5,2013-14,OleMiss
Janari Joesaar,3,0.28600000000000003,0.2,0.5,0.25,0.5,1,2013-14,OleMiss
Jarvis Summers,3,0.013999999999999999,0,0,0.005,0,0,2013-14,OleMiss
Derrick Millinghaus,1,0.013999999999999999,0.028999999999999998,1,0,0,NA,2013-14,OleMiss
Total,139,0.175,0.171,0.57,0.055,0.061,0.405,2013-14,OleMiss
