name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Mike Moser,36,0.27399999999999997,0.254,0.531,0.028999999999999998,0,0,2013-14,Oregon
Elgin Cook,24,0.276,0.32799999999999996,0.833,0,0,NA,2013-14,Oregon
Richard Amardi,23,0.247,0.2,0.5,0.013000000000000001,0,0,2013-14,Oregon
Waverly Austin,14,0.359,0.294,0.35700000000000004,0,0,NA,2013-14,Oregon
Joseph Young,13,0.079,0.077,0.583,0.011000000000000001,0.026000000000000002,1,2013-14,Oregon
Damyean Dotson,6,0.054000000000000006,0.07,0.8,0.011000000000000001,0,0,2013-14,Oregon
Ben Carter,3,0.107,0.16699999999999998,0.667,0,0,NA,2013-14,Oregon
Dominic Artis,3,0.068,0.053,0.33299999999999996,0,0,NA,2013-14,Oregon
Jason Calliste,2,0.019,0.032,1,0,0,NA,2013-14,Oregon
Nicholas Lucenti,1,1,NA,0,NA,NA,NA,2013-14,Oregon
Total,125,0.152,0.153,0.581,0.011000000000000001,0.004,0.16699999999999998,2013-14,Oregon
