name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Stacy Davis,329,0.5660000000000001,0.506,0.359,0.568,0.5820000000000001,0.49200000000000005,0.401,0.585,0.149,0.469,1,0.544,0.76,2013-14,Pepperdine
Brendan Lane,300,0.5730000000000001,0.563,0.46,0.674,0.613,0.45,0.452,0.59,0.09,0.37,1,0.29,0.609,2013-14,Pepperdine
Malcolm Brooks,231,0.59,0.5539999999999999,0.26,0.5,0.33299999999999996,0.26,0.5329999999999999,0.188,0.48100000000000004,0.396,0.8859999999999999,0.281,0.815,2013-14,Pepperdine
Jeremy Major,227,0.512,0.474,0.441,0.47,0.17,0.233,0.377,0,0.326,0.365,0.556,0.441,0.66,2013-14,Pepperdine
Amadi Udenyi,112.00000000000001,0.455,0.402,0.25,0.28600000000000003,0.125,0.196,0.318,0,0.5539999999999999,0.32299999999999995,0.7,0.43799999999999994,0.6729999999999999,2013-14,Pepperdine
Nikolas Skouen,101,0.523,0.48,0.08900000000000001,0.556,0.2,0.198,0.45,0.556,0.713,0.319,0.87,0.168,1,2013-14,Pepperdine
Malte Kramer,92,0.63,0.63,0.13,0.667,0.5,0.141,0.385,0.8,0.728,0.44799999999999995,0.9670000000000001,0.239,0.591,2013-14,Pepperdine
Atif Russell,75,0.507,0.46,0.45299999999999996,0.618,0.33299999999999996,0.373,0.321,0.778,0.17300000000000001,0.231,1,0.413,0.71,2013-14,Pepperdine
Murray Lamond,75,0.552,0.513,0.307,0.7390000000000001,0.529,0.52,0.436,0.47100000000000003,0.17300000000000001,0.231,0.667,0.64,0.6459999999999999,2013-14,Pepperdine
Jett Raines,63,0.583,0.5710000000000001,0.54,0.6759999999999999,0.348,0.444,0.46399999999999997,0.6920000000000001,0.016,0,NA,0.47600000000000003,0.6,2013-14,Pepperdine
Austin Mills,51,0.436,0.392,0.17600000000000002,0.556,0,0.196,0.6,0,0.627,0.188,0.667,0.451,0.609,2013-14,Pepperdine
David Jesperson,24,0.557,0.521,0.375,0.667,0.5,0.20800000000000002,0.4,1,0.41700000000000004,0.3,0.667,0.41700000000000004,0.7,2013-14,Pepperdine
VAN,21,0.357,0.35700000000000004,0,NA,NA,0.048,0,NA,0.9520000000000001,0.25,1,0,NA,2013-14,Pepperdine
Total,1701.0000000000002,0.547,0.512,0.337,0.575,0.445,0.33899999999999997,0.42700000000000005,0.467,0.324,0.358,0.843,0.389,0.7,2013-14,Pepperdine
