name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Langston Galloway,428,0.61,0.57,0.152,0.6,0.359,0.278,0.361,0.18600000000000003,0.57,0.44299999999999995,0.778,0.322,0.826,2013-14,SaintJoseph's
Deandre Bembry,312,0.535,0.516,0.369,0.635,0.452,0.298,0.366,0.235,0.33299999999999996,0.34600000000000003,0.917,0.5,0.583,2013-14,SaintJoseph's
Ronald Roberts,290,0.606,0.6,0.731,0.708,0.627,0.26899999999999996,0.308,0.375,0,NA,NA,0.655,0.595,2013-14,SaintJoseph's
Chris Wilson,260,0.515,0.488,0.312,0.531,0.302,0.165,0.27899999999999997,0.25,0.523,0.353,0.8959999999999999,0.331,0.6509999999999999,2013-14,SaintJoseph's
Halil Kanacevic,258,0.5770000000000001,0.57,0.57,0.6459999999999999,0.442,0.23600000000000002,0.41,0.2,0.19399999999999998,0.36,0.9440000000000001,0.48100000000000004,0.581,2013-14,SaintJoseph's
Isaiah Miles,69,0.538,0.493,0.188,0.769,0.6,0.174,0.25,1,0.638,0.318,1,0.275,0.8420000000000001,2013-14,SaintJoseph's
Papa Ndao,57.99999999999999,0.616,0.578,0.10300000000000001,0.667,0.25,0.172,0.4,0.5,0.7240000000000001,0.405,0.941,0.22399999999999998,0.9229999999999999,2013-14,SaintJoseph's
Daryus Quarles,57.99999999999999,0.42700000000000005,0.397,0.155,0.444,0.75,0.36200000000000004,0.47600000000000003,0.7,0.483,0.214,1,0.36200000000000004,0.5710000000000001,2013-14,SaintJoseph's
Evan Maschmeyer,26,0.4,0.327,0.423,0.273,0.667,0.192,0.2,0,0.385,0.3,1,0.423,0.727,2013-14,SaintJoseph's
Javon Baumann,17,0.507,0.588,1,0.588,0.5,0,NA,NA,0,NA,NA,0.706,0.25,2013-14,SaintJoseph's
Brendan Casper,7.000000000000001,0.393,0.28600000000000003,0.5710000000000001,0.5,0.5,0.429,0,NA,0,NA,NA,0.5710000000000001,0.75,2013-14,SaintJoseph's
Colin Kelly,3,0.38,0.33299999999999996,0.667,0.5,1,0,NA,NA,0.33299999999999996,0,NA,0.667,0.5,2013-14,SaintJoseph's
Eric Kindler,2,0,0,0.5,0,NA,0,NA,NA,0.5,0,NA,0.5,0,2013-14,SaintJoseph's
Kyle Molock,1,0.41200000000000003,0,1,0,NA,0,NA,NA,0,NA,NA,3,0.667,2013-14,SaintJoseph's
Total,1789,0.5630000000000001,0.539,0.382,0.635,0.495,0.249,0.35100000000000003,0.28800000000000003,0.369,0.379,0.8640000000000001,0.436,0.645,2013-14,SaintJoseph's
