name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tim Williams,360,0.638,0.604,0.5579999999999999,0.736,0.635,0.436,0.433,0.529,0.006,0.5,0,0.478,0.75,2013-14,Samford
Isaiah Williams,275,0.558,0.516,0.287,0.557,0.25,0.284,0.37200000000000005,0.207,0.429,0.39,0.848,0.345,0.768,2013-14,Samford
Raijon Kelly,269,0.557,0.524,0.13,0.7140000000000001,0.2,0.528,0.5,0.254,0.342,0.326,0.9,0.22699999999999998,0.82,2013-14,Samford
Tyler Hood,188,0.5720000000000001,0.527,0.42,0.62,0.612,0.16,0.267,0.375,0.42,0.354,1,0.38299999999999995,0.778,2013-14,Samford
Connor Miller,187,0.512,0.49700000000000005,0.273,0.431,0.364,0.107,0.25,0.2,0.62,0.379,0.932,0.225,0.619,2013-14,Samford
Jordan Capps,124,0.514,0.516,0.815,0.614,0.581,0.153,0.105,0.5,0.032,0,NA,0.718,0.483,2013-14,Samford
Brandon Roberts,113.99999999999999,0.45199999999999996,0.42100000000000004,0.386,0.682,0.3,0.254,0.207,0.16699999999999998,0.36,0.195,0.75,0.24600000000000002,0.679,2013-14,Samford
Russell Wilson,85,0.44400000000000006,0.424,0.835,0.451,0.188,0.08199999999999999,0.5710000000000001,0,0.08199999999999999,0,NA,0.659,0.48200000000000004,2013-14,Samford
Michael Bradley,80,0.528,0.488,0.325,0.5379999999999999,0.28600000000000003,0.662,0.47200000000000003,0.68,0.012,0,NA,0.33799999999999997,0.741,2013-14,Samford
Chris Longoria,51,0.4300000000000001,0.42200000000000004,0.5489999999999999,0.5710000000000001,0.312,0.157,0.5,0.25,0.294,0.067,1,0.294,0.467,2013-14,Samford
Nnamdi Enechionyia,23,0.398,0.326,0.391,0.33299999999999996,0.33299999999999996,0.13,0,NA,0.478,0.273,1,0.652,0.6,2013-14,Samford
Brandon Hayman,23,0.608,0.652,0.87,0.75,0.5329999999999999,0.087,0,NA,0.043,0,NA,0.304,0.28600000000000003,2013-14,Samford
Emeka Ikezu,9,0.508,0.556,0.444,0.75,0.667,0.556,0.4,1,0,NA,NA,0.889,0.375,2013-14,Samford
Eric Adams,3,0.33299999999999996,0.33299999999999996,0.667,0,NA,0.33299999999999996,1,0,0,NA,NA,0,NA,2013-14,Samford
Tony Thompson,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2013-14,Samford
Hamilton Bailey,1,0.593,0,0,NA,NA,0,NA,NA,1,0,NA,5,0.8,2013-14,Samford
"GARCIA,ERIC",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14,Samford
Total,1793,0.548,0.518,0.418,0.617,0.473,0.31,0.405,0.382,0.272,0.33,0.9009999999999999,0.386,0.6759999999999999,2013-14,Samford
