name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Brandon Clark,419.00000000000006,0.559,0.49200000000000005,0.36,0.523,0.177,0.258,0.39799999999999996,0.163,0.382,0.35,0.679,0.39899999999999997,0.868,2013-14,SantaClara
Jared Brownridge,403,0.614,0.5720000000000001,0.184,0.581,0.326,0.275,0.405,0.156,0.541,0.436,0.821,0.305,0.862,2013-14,SantaClara
Evan Roquemore,271,0.49100000000000005,0.435,0.258,0.429,0.267,0.295,0.312,0.2,0.446,0.34700000000000003,0.762,0.354,0.7809999999999999,2013-14,SantaClara
Jerry Brown,157,0.5750000000000001,0.58,0.828,0.631,0.5,0.172,0.33299999999999996,0.222,0,NA,NA,0.809,0.535,2013-14,SantaClara
John McArthur,129,0.41200000000000003,0.391,0.155,0.55,0.545,0.667,0.37200000000000005,0.812,0.17800000000000002,0.217,1,0.09300000000000001,0.833,2013-14,SantaClara
Jalen Richard,115.99999999999999,0.4670000000000001,0.42200000000000004,0.319,0.595,0.409,0.25,0.207,0.16699999999999998,0.431,0.28,0.929,0.379,0.682,2013-14,SantaClara
Nate Kratch,98,0.546,0.531,0.28600000000000003,0.607,0.47100000000000003,0.133,0.385,0.4,0.5820000000000001,0.35100000000000003,0.95,0.235,0.652,2013-14,SantaClara
Denzel Johnson,97,0.42900000000000005,0.381,0.423,0.46299999999999997,0.316,0.371,0.33299999999999996,0.33299999999999996,0.20600000000000002,0.2,1,0.35100000000000003,0.6759999999999999,2013-14,SantaClara
Yannick Atanga,84,0.47000000000000003,0.452,0.726,0.541,0.667,0.262,0.22699999999999998,0.4,0.012,0,NA,0.536,0.511,2013-14,SantaClara
Julian Clarke,42,0.585,0.56,0.071,0.33299999999999996,1,0.35700000000000004,0.4,0.667,0.5710000000000001,0.45799999999999996,0.909,0.381,0.688,2013-14,SantaClara
Robert Garrett,30,0.49899999999999994,0.467,0.833,0.48,0.917,0.16699999999999998,0.4,0.5,0,NA,NA,0.5670000000000001,0.588,2013-14,SantaClara
Andrew Papenfus,7.000000000000001,0.357,0.35700000000000004,0.28600000000000003,0.5,1,0.14300000000000002,0,NA,0.5710000000000001,0.25,1,0,NA,2013-14,SantaClara
Total,1853,0.535,0.49200000000000005,0.34600000000000003,0.545,0.40299999999999997,0.28800000000000003,0.35600000000000004,0.321,0.366,0.366,0.8059999999999999,0.38,0.733,2013-14,SantaClara
