name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Luke Nelson,337,0.548,0.522,0.19,0.594,0.21100000000000002,0.226,0.355,0.29600000000000004,0.585,0.376,0.838,0.243,0.732,2013-14,UCIrvine
Chris McNealy,315,0.528,0.49700000000000005,0.21899999999999997,0.623,0.302,0.45399999999999996,0.406,0.414,0.327,0.359,0.946,0.337,0.6890000000000001,2013-14,UCIrvine
Alex Young,276,0.48900000000000005,0.451,0.35100000000000003,0.495,0.25,0.304,0.35700000000000004,0.133,0.344,0.326,0.871,0.312,0.7090000000000001,2013-14,UCIrvine
Will Davis II,261,0.585,0.5670000000000001,0.48700000000000004,0.701,0.7190000000000001,0.513,0.44,0.542,0,NA,NA,0.33,0.6629999999999999,2013-14,UCIrvine
Mamadou Ndiaye,157,0.64,0.7070000000000001,0.637,0.83,0.735,0.363,0.491,0.7140000000000001,0,NA,NA,0.732,0.426,2013-14,UCIrvine
John Ryan,112.99999999999999,0.5640000000000001,0.5579999999999999,0.5489999999999999,0.71,0.773,0.451,0.373,0.526,0,NA,NA,0.389,0.568,2013-14,UCIrvine
Travis Souza,105,0.533,0.5,0.057,0.5,0.33299999999999996,0.038,0,NA,0.905,0.34700000000000003,1,0.21,0.818,2013-14,UCIrvine
Aaron Wright,105,0.523,0.47100000000000003,0.5429999999999999,0.561,0.25,0.248,0.26899999999999996,0.14300000000000002,0.21,0.318,1,0.657,0.652,2013-14,UCIrvine
Mike Best,91,0.49499999999999994,0.462,0.319,0.586,1,0.593,0.40700000000000003,0.591,0.08800000000000001,0.25,1,0.209,0.789,2013-14,UCIrvine
Dominique Dunning,90,0.545,0.511,0.711,0.547,0.6,0.2,0.444,0.375,0.08900000000000001,0.25,1,0.6,0.63,2013-14,UCIrvine
Ioannis Dimakopoulos,34,0.5780000000000001,0.5589999999999999,0.324,0.727,0.75,0.441,0.33299999999999996,0.6,0.235,0.5,1,0.41200000000000003,0.643,2013-14,UCIrvine
Jaron Martin,23,0.374,0.348,0.304,0.28600000000000003,0.5,0.217,0,NA,0.478,0.364,0.75,0.217,0.6,2013-14,UCIrvine
Ege Mala,13,0.47000000000000003,0.423,0.308,0.5,1,0.462,0.33299999999999996,0.5,0.231,0.33299999999999996,1,0.308,0.75,2013-14,UCIrvine
Reed McConnell,12,0.521,0.5,0.33299999999999996,0.75,0.33299999999999996,0.083,0,NA,0.583,0.28600000000000003,1,0.083,1,2013-14,UCIrvine
Total,1932,0.544,0.521,0.363,0.638,0.557,0.349,0.39299999999999996,0.449,0.28800000000000003,0.354,0.904,0.366,0.6409999999999999,2013-14,UCIrvine
