name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
"D,J. Cunnigham",34,0.213,0.17600000000000002,0.552,0.06,0.028999999999999998,0.2,2013-14
Jaron Lane,21,0.10099999999999999,0.127,0.812,0.057,0,0,2013-14
Sam Hughes,18,0.107,0.179,0.909,0.111,0.158,0.429,2013-14
Corey Littlejohn,16,0.182,0.244,0.7140000000000001,0.049,0.154,1,2013-14
Jaleel Roberts,10,0.213,0.231,0.6,0,0,NA,2013-14
Giacomo Zilli,7,0.207,0.3,1,0.16699999999999998,0,0,2013-14
Andrew Rowsey,6,0.034,0.069,1,0.011000000000000001,0,0,2013-14
David Robertson,3,0.032,0,0,0.042,0,0,2013-14
Will Weeks,3,0.158,0.091,0.33299999999999996,0,NA,NA,2013-14
Chudier Pal,3,0.07400000000000001,0,0,0.16699999999999998,0,0,2013-14
Alex Biggerstaff,1,0,0,NA,0.5,NA,0,2013-14
Total,122,0.124,0.146,0.68,0.054000000000000006,0.038,0.25,2013-14
