name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Karl Cochran,451.99999999999994,0.521,0.506,0.27,0.598,0.16399999999999998,0.294,0.301,0.55,0.436,0.391,0.857,0.177,0.675,2013-14
Spencer Collins,324,0.533,0.47700000000000004,0.33,0.636,0.33799999999999997,0.386,0.368,0.348,0.284,0.293,1,0.42,0.772,2013-14
Lee Skinner,269,0.525,0.489,0.565,0.632,0.51,0.379,0.304,0.32299999999999995,0.055999999999999994,0.2,0.667,0.48,0.6509999999999999,2013-14
Eric Garcia,158,0.595,0.573,0.19,0.5329999999999999,0.25,0.259,0.317,0.308,0.551,0.47100000000000003,0.951,0.304,0.708,2013-14
Justin Gordon,153,0.504,0.51,0.575,0.614,0.574,0.41200000000000003,0.381,0.083,0.013000000000000001,0,NA,0.379,0.44799999999999995,2013-14
Jaylen Allen,140,0.553,0.536,0.271,0.579,0.273,0.207,0.379,0.455,0.521,0.384,1,0.221,0.677,2013-14
CJ Neumann,107,0.5770000000000001,0.584,0.813,0.644,0.5710000000000001,0.159,0.294,0.8,0.027999999999999997,0.33299999999999996,1,0.28,0.5,2013-14
Indiana Faithful,40,0.374,0.28800000000000003,0.375,0.5329999999999999,0.375,0.275,0.182,0,0.35,0.071,1,0.425,0.765,2013-14
John Swinton,38,0.5740000000000001,0.526,0.316,0.667,0.25,0.237,0.33299999999999996,0.33299999999999996,0.447,0.353,1,0.5,0.737,2013-14
Aerris Smith,35,0.528,0.514,0.7140000000000001,0.6,0.467,0.28600000000000003,0.3,0,0,NA,NA,0.457,0.562,2013-14
Zac Grossenbacher,26,0.5730000000000001,0.5770000000000001,0.231,0.5,0.33299999999999996,0.038,0,NA,0.731,0.42100000000000004,1,0.154,0.5,2013-14
LEE,13,0.536,0.385,0.308,1,0.75,0.6920000000000001,0.111,0,0,NA,NA,0.615,1,2013-14
KARL,13,0.269,0.26899999999999996,0.077,1,1,0.385,0.2,0,0.5379999999999999,0.14300000000000002,1,0,NA,2013-14
ERIC,11,0.388,0.364,0,NA,NA,0.364,0.25,0,0.636,0.28600000000000003,1,0.364,0.5,2013-14
Eric Wagenlander,8,0.188,0.188,0,NA,NA,0.25,0,NA,0.75,0.16699999999999998,1,0,NA,2013-14
CJ,5,0.6,0.6,0.4,1,0.5,0.6,0.33299999999999996,1,0,NA,NA,0,NA,2013-14
Zach Korkowski,5,0.764,0.6,0.2,1,0,0.4,1,0,0.4,0,NA,1.2,1,2013-14
Jeremiah Tate,4,0.14600000000000002,0.25,0.25,0,NA,0.75,0.33299999999999996,1,0,NA,NA,1.5,0,2013-14
ZAC,2,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2013-14
INDIANA,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2013-14
"MILLER,CONNOR",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14
"GIBSON,ONELL",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-14
Total,1804,0.529,0.502,0.38299999999999995,0.618,0.41,0.315,0.325,0.35700000000000004,0.302,0.36,0.929,0.32799999999999996,0.664,2013-14
