name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Kwan Cheatham,272,0.47400000000000003,0.45799999999999996,0.195,0.547,0.31,0.254,0.319,0.5,0.551,0.327,0.9590000000000001,0.165,0.644,2014-15
Pat Forsythe,236,0.5730000000000001,0.561,0.695,0.634,0.5770000000000001,0.284,0.40299999999999997,0.29600000000000004,0.021,0.2,1,0.45799999999999996,0.593,2014-15
Deji Ibitayo,233,0.582,0.532,0.498,0.56,0.16899999999999998,0.069,0.125,0,0.433,0.376,0.868,0.519,0.7440000000000001,2014-15
Noah Robotham,222.00000000000003,0.513,0.47700000000000004,0.28800000000000003,0.42200000000000004,0.222,0.212,0.40399999999999997,0.21100000000000002,0.5,0.36,0.65,0.27,0.75,2014-15
Antino Jackson,214,0.4690000000000001,0.444,0.28,0.483,0.069,0.15,0.281,0,0.57,0.311,0.5529999999999999,0.17300000000000001,0.73,2014-15
Reggie McAdams,189,0.613,0.601,0.069,0.6920000000000001,0.222,0.095,0.389,0.28600000000000003,0.836,0.41100000000000003,0.9229999999999999,0.122,0.7829999999999999,2014-15
Nyles Evans,157,0.494,0.478,0.318,0.46,0.087,0.076,0.33299999999999996,0.25,0.605,0.337,0.625,0.146,0.696,2014-15
Jake Kretzer,143,0.592,0.5489999999999999,0.11900000000000001,0.765,0.308,0.063,0.111,1,0.818,0.368,0.977,0.245,0.914,2014-15
Isaiah Johnson,135,0.508,0.48100000000000004,0.8590000000000001,0.526,0.45899999999999996,0.141,0.21100000000000002,0,0,NA,NA,0.6890000000000001,0.5589999999999999,2014-15
Aaron Jackson,85,0.42500000000000004,0.429,0.2,0.47100000000000003,0.5,0.153,0.231,0.33299999999999996,0.647,0.309,0.882,0.22399999999999998,0.368,2014-15
B.J. Gladden,70,0.459,0.429,0.7290000000000001,0.47100000000000003,0.25,0.086,0,NA,0.18600000000000003,0.308,1,0.514,0.556,2014-15
Malcolm Walters,11,0.27,0.22699999999999998,0.273,0.33299999999999996,0,0.091,0,NA,0.636,0.14300000000000002,1,0.727,0.375,2014-15
Demetrius Treadwell,7.000000000000001,0.508,0.5710000000000001,0.857,0.667,0.75,0.14300000000000002,0,NA,0,NA,NA,0.857,0.33299999999999996,2014-15
Ricardo Hill,4,0.303,0.25,0.5,0.5,0,0,NA,NA,0.5,0,NA,0.5,0.5,2014-15
Mark Noble,4,0,0,0.5,0,NA,0.25,0,NA,0.25,0,NA,0.25,0,2014-15
"SANDIFER,JABARI",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,1982,0.523,0.498,0.37,0.542,0.344,0.157,0.315,0.28600000000000003,0.473,0.35,0.823,0.311,0.6579999999999999,2014-15
