name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jimmie Taylor,21,0.257,0.265,0.722,0.062,0.136,1,2014-15,Alabama
Shannon Hale,13,0.146,0.125,0.5710000000000001,0.13,0.235,0.667,2014-15,Alabama
Rodney Cooper,12,0.159,0.146,0.7,0.027000000000000003,0.067,1,2014-15,Alabama
Michael Kessens,11,0.091,0.135,1,0.076,0.028999999999999998,0.16699999999999998,2014-15,Alabama
Levi Randolph,10,0.061,0.087,1,0.013999999999999999,0.033,1,2014-15,Alabama
Retin Obasohan,4,0.032,0,0,0.048,0,0,2014-15,Alabama
Riley Norris,3,0.059000000000000004,0.105,1,0.027000000000000003,0.091,1,2014-15,Alabama
Dakota Slaughter,2,0.5,0.5,1,1,1,1,2014-15,Alabama
John Gibson,1,1,1,1,NA,NA,NA,2014-15,Alabama
Ricky Tarrant,1,0,0,NA,0.038,0,0,2014-15,Alabama
Total,78,0.10300000000000001,0.11800000000000001,0.75,0.046,0.067,0.583,2014-15,Alabama
