name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Reginald Johnson,33,0.314,0.271,0.591,0.115,0.11800000000000001,0.364,2014-15
Marquis Vance,23,0.14400000000000002,0.179,0.7,0.023,0,0,2014-15
Leantwan Luckett,16,0.067,0.107,0.889,0.051,0.055999999999999994,0.28600000000000003,2014-15
Kenyan Pittman,16,0.226,0.256,0.833,0.174,0.33299999999999996,0.25,2014-15
Tyrel Hunt,14,0.087,0.042,0.273,0.059000000000000004,0.182,0.667,2014-15
George Thomas,6,0.121,0.11800000000000001,0.5,0.182,0,0,2014-15
Michael Davis,5,0.045,0.03,0.33299999999999996,0.036000000000000004,0,0,2014-15
Tamarcio Wilson,4,0.028999999999999998,0.028999999999999998,0.5,0.037000000000000005,0.091,1,2014-15
Devonte Hampton,3,0.11800000000000001,0.2,0.5,0.071,0.125,1,2014-15
Juwan Henderson,1,0.062,0,0,0,0,NA,2014-15
Omar Beauperthuy,1,0,0,NA,0.067,0,0,2014-15
Total,122,0.11599999999999999,0.129,0.616,0.061,0.07,0.314,2014-15
