name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Brandon Ashley,32,0.203,0.218,0.7040000000000001,0.032,0.045,0.6,2014-15,Arizona
Stanley Johnson,32,0.188,0.11900000000000001,0.33299999999999996,0.062,0.083,0.6,2014-15,Arizona
Kaleb Tarczewski,24,0.16399999999999998,0.17800000000000002,0.727,0.025,0,0,2014-15,Arizona
Rondae Hollis-Jefferson,23,0.146,0.11699999999999999,0.579,0.026000000000000002,0.026000000000000002,0.33299999999999996,2014-15,Arizona
Dusan Ristic,13,0.3,0.28600000000000003,0.667,0.09300000000000001,0.087,0.5,2014-15,Arizona
T.J. McConnell,9,0.055999999999999994,0.067,0.8,0.027000000000000003,0.042,0.75,2014-15,Arizona
Craig Victor,3,0.16699999999999998,0.25,1,0.28600000000000003,0.25,0.5,2014-15,Arizona
Matt Korcheck,3,0.222,0.14300000000000002,0.5,0.2,0.33299999999999996,1,2014-15,Arizona
Elliott Pitts,2,0.105,0.182,1,0,0,NA,2014-15,Arizona
Gabe York,2,0.028999999999999998,0.053,1,0.023,0.045,1,2014-15,Arizona
Parker Jackson-Cartwright,1,0.037000000000000005,0,0,0,0,NA,2014-15,Arizona
Total,144,0.152,0.145,0.618,0.04,0.052000000000000005,0.562,2014-15,Arizona
