name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Tyler Haws,538,0.597,0.53,0.149,0.762,0.607,0.578,0.46,0.524,0.273,0.36700000000000005,0.9440000000000001,0.439,0.873,2014-15
Chase Fischer,351,0.587,0.5660000000000001,0.11699999999999999,0.585,0.41700000000000004,0.177,0.32299999999999995,0.55,0.7070000000000001,0.415,0.8059999999999999,0.185,0.785,2014-15
Kyle Collinsworth,335,0.541,0.48100000000000004,0.466,0.6409999999999999,0.41,0.47200000000000003,0.32899999999999996,0.192,0.063,0.28600000000000003,0.833,0.5429999999999999,0.736,2014-15
Anson Winder,260,0.595,0.563,0.335,0.759,0.409,0.215,0.23199999999999998,0.615,0.45,0.385,0.9109999999999999,0.40399999999999997,0.7240000000000001,2014-15
Skyler Halford,194,0.6619999999999999,0.619,0.165,0.7809999999999999,0.44,0.278,0.315,0.294,0.557,0.48100000000000004,0.9420000000000001,0.345,0.8809999999999999,2014-15
Isaac Neilson,79,0.5630000000000001,0.544,0.29100000000000004,0.7390000000000001,0.588,0.418,0.424,0.643,0.29100000000000004,0.348,1,0.405,0.625,2014-15
Corbin Kaufusi,64,0.591,0.562,0.609,0.6409999999999999,0.68,0.391,0.44,0.455,0,NA,NA,1.094,0.614,2014-15
Frank Bartley IV,63,0.48900000000000005,0.43700000000000006,0.349,0.273,0.33299999999999996,0.27,0.647,0.273,0.381,0.292,0.857,0.698,0.614,2014-15
Jake Toolson,50,0.589,0.58,0.08,0.25,1,0.12,0.667,0.25,0.8,0.4,0.875,0.04,1,2014-15
Dalton Nixon,47,0.527,0.457,0.319,0.8,0.917,0.298,0.35700000000000004,0.6,0.38299999999999995,0.16699999999999998,0.667,0.27699999999999997,1,2014-15
Luke Worthington,46,0.51,0.457,0.435,0.55,0.636,0.565,0.385,0.7,0,NA,NA,0.5870000000000001,0.667,2014-15
Ryan Andrus,22,0.655,0.614,0.409,0.778,0.7140000000000001,0.22699999999999998,0.4,0.5,0.364,0.375,1,0.818,0.722,2014-15
Josh Sharp,21,0.633,0.619,0.524,0.636,0.5710000000000001,0.28600000000000003,0.5,0.33299999999999996,0.19,0.5,1,0.429,0.667,2014-15
Nate Austin,18,0.609,0.528,0.33299999999999996,0.667,0.5,0.389,0.5710000000000001,0.75,0.278,0.2,1,0.778,0.7859999999999999,2014-15
Jordan Ellis,2,0.33899999999999997,0.5,0.5,1,0,0.5,0,NA,0,NA,NA,1,0,2014-15
"CLARK,BRANDON",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
"WALDEN,COREY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,2090,0.584,0.539,0.261,0.672,0.504,0.374,0.396,0.46,0.365,0.39299999999999996,0.883,0.424,0.7659999999999999,2014-15
