name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tyrone Wallace,488.99999999999994,0.48400000000000004,0.45399999999999996,0.33299999999999996,0.5579999999999999,0.341,0.48700000000000004,0.374,0.034,0.18,0.318,0.75,0.405,0.606,2014-15,California
David Kravish,339,0.506,0.484,0.28300000000000003,0.667,0.672,0.6759999999999999,0.41,0.5429999999999999,0.040999999999999995,0.28600000000000003,0.75,0.183,0.726,2014-15,California
Jordan Mathews,321,0.595,0.555,0.187,0.633,0.263,0.321,0.34,0.457,0.49200000000000005,0.44299999999999995,0.843,0.364,0.7859999999999999,2014-15,California
Jabari Bird,210,0.533,0.512,0.2,0.69,0.621,0.4,0.381,0.156,0.4,0.369,0.968,0.162,0.765,2014-15,California
Sam Singer,131,0.48800000000000004,0.485,0.374,0.633,0.32299999999999995,0.267,0.371,0.154,0.359,0.27699999999999997,0.9229999999999999,0.267,0.486,2014-15,California
Dwight Tarwater,110.00000000000001,0.501,0.491,0.145,0.688,0.545,0.136,0.467,0.5710000000000001,0.718,0.304,1,0.055,0.833,2014-15,California
Christian Behrens,108,0.511,0.491,0.565,0.639,0.615,0.435,0.298,0.35700000000000004,0,NA,NA,0.491,0.5660000000000001,2014-15,California
Kingsley Okoroh,52,0.477,0.462,0.462,0.667,0.625,0.5379999999999999,0.28600000000000003,0.25,0,NA,NA,0.442,0.522,2014-15,California
Brandon Chauca,47,0.532,0.532,0.128,0.33299999999999996,0,0.213,0.5,0,0.66,0.387,0.833,0.128,0.5,2014-15,California
MOUTE,45,0.40800000000000003,0.389,0.37799999999999995,0.47100000000000003,0.5,0.311,0.35700000000000004,0.6,0.311,0.214,1,0.5329999999999999,0.45799999999999996,2014-15,California
Brenden Glapion,6,0.633,0.5,0.5,1,0,0.5,0,NA,0,NA,NA,1.5,0.778,2014-15,California
Cole Welle,6,0.167,0.16699999999999998,0.833,0.2,0,0.16699999999999998,0,NA,0,NA,NA,0,NA,2014-15,California
Nick Hamilton,4,0.25,0.25,0,NA,NA,1,0.25,0,0,NA,NA,0,NA,2014-15,California
Total,1868,0.513,0.489,0.29,0.614,0.46799999999999997,0.434,0.374,0.3,0.276,0.359,0.8759999999999999,0.304,0.649,2014-15,California
