name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Farad Cobb,259,0.513,0.485,0.14300000000000002,0.595,0.136,0.243,0.381,0.125,0.614,0.33299999999999996,0.755,0.185,0.792,2014-15,Cincinnati
Troy Caupain,241,0.5630000000000001,0.508,0.361,0.563,0.184,0.324,0.34600000000000003,0.29600000000000004,0.315,0.408,0.871,0.43200000000000005,0.7879999999999999,2014-15,Cincinnati
Octavius Ellis,219,0.595,0.557,0.493,0.741,0.525,0.502,0.382,0.619,0.005,0,NA,0.616,0.6890000000000001,2014-15,Cincinnati
Gary Clark,210,0.543,0.524,0.5479999999999999,0.6609999999999999,0.474,0.429,0.37799999999999995,0.47100000000000003,0.024,0,NA,0.34299999999999997,0.625,2014-15,Cincinnati
Kevin Johnson,195,0.509,0.49,0.16399999999999998,0.469,0.733,0.205,0.4,0.188,0.631,0.35,0.884,0.226,0.659,2014-15,Cincinnati
Shaq Thomas,188,0.49499999999999994,0.473,0.38299999999999995,0.639,0.435,0.521,0.34700000000000003,0.41200000000000003,0.096,0.33299999999999996,0.667,0.37200000000000005,0.586,2014-15,Cincinnati
Jermaine Sanders,144,0.48000000000000004,0.465,0.243,0.7140000000000001,0.44,0.139,0.3,0.667,0.618,0.27,0.958,0.271,0.564,2014-15,Cincinnati
Coreontae DeBerry,99,0.5670000000000001,0.545,0.485,0.7290000000000001,0.5710000000000001,0.515,0.373,0.474,0,NA,NA,0.5760000000000001,0.614,2014-15,Cincinnati
Deshaun Morman,74,0.462,0.405,0.33799999999999997,0.52,0.308,0.486,0.306,0.364,0.17600000000000002,0.308,1,0.541,0.65,2014-15,Cincinnati
Quadri Moore,56.00000000000001,0.451,0.41100000000000003,0.321,0.556,0.6,0.429,0.292,0.28600000000000003,0.25,0.28600000000000003,1,0.268,0.733,2014-15,Cincinnati
Ge'Lawn Guyn,13,0.251,0.26899999999999996,0.231,0.667,0.5,0.308,0,NA,0.462,0.16699999999999998,1,0.154,0,2014-15,Cincinnati
Zack Tobler,5,0.203,0.2,0.2,1,1,0.4,0,NA,0.4,0,NA,1,0.2,2014-15,Cincinnati
Blissitt Rob,2,0.6779999999999999,0.75,0.5,0,NA,0,NA,NA,0.5,1,0,1,0.5,2014-15,Cincinnati
"BARBER,ANTHONY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,Cincinnati
"PURIEFOY,CARSON",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,Cincinnati
Total,1705,0.527,0.495,0.341,0.643,0.439,0.361,0.35700000000000004,0.405,0.297,0.32899999999999996,0.8440000000000001,0.371,0.67,2014-15,Cincinnati
