name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Shonn Miller,387,0.54,0.47,0.276,0.6920000000000001,0.622,0.455,0.375,0.439,0.26899999999999996,0.26899999999999996,0.857,0.43700000000000006,0.8340000000000001,2014-15,Cornell
Robert Hatter,266,0.51,0.451,0.301,0.5379999999999999,0.256,0.128,0.235,0.375,0.5710000000000001,0.303,0.9129999999999999,0.33799999999999997,0.833,2014-15,Cornell
Devin Cherry,257,0.48600000000000004,0.43,0.354,0.484,0.091,0.261,0.34299999999999997,0.13,0.385,0.293,0.7240000000000001,0.424,0.725,2014-15,Cornell
Galal Cancer,231.99999999999997,0.514,0.444,0.42700000000000005,0.505,0.18,0.302,0.243,0.17600000000000002,0.272,0.381,0.667,0.435,0.812,2014-15,Cornell
Jojo Fallas,92,0.509,0.5,0.033,0.667,0,0.141,0.385,0.8,0.826,0.342,1,0.076,0.7140000000000001,2014-15,Cornell
Darryl Smith,67,0.481,0.433,0.373,0.56,0.35700000000000004,0.16399999999999998,0.273,0,0.46299999999999997,0.258,1,0.313,0.762,2014-15,Cornell
David Onuorah,56.00000000000001,0.44,0.446,0.7859999999999999,0.523,0.478,0.214,0.16699999999999998,0.5,0,NA,NA,0.5,0.39299999999999996,2014-15,Cornell
Wil Bathurst,46,0.45000000000000007,0.446,0.391,0.556,0.1,0.304,0.214,0.33299999999999996,0.304,0.35700000000000004,0.8,0.5870000000000001,0.444,2014-15,Cornell
Jordan Abdur-Ra'oof,40,0.42500000000000004,0.4,0.1,0.5,0.5,0.5,0.25,1,0.4,0.375,1,0.125,0.8,2014-15,Cornell
Nenad Tomic,31,0.41700000000000004,0.32299999999999995,0.387,0.33299999999999996,0.5,0.613,0.316,0.5,0,NA,NA,0.742,0.652,2014-15,Cornell
Pat Smith,30,0.48700000000000004,0.45,0.2,0.5,0,0.233,0.429,0.33299999999999996,0.5670000000000001,0.294,1,0.2,0.833,2014-15,Cornell
Dave LaMore,28.000000000000004,0.58,0.607,0.5710000000000001,0.812,0.5379999999999999,0.429,0.33299999999999996,0.75,0,NA,NA,0.35700000000000004,0.4,2014-15,Cornell
Deion Giddens,13,0.347,0.308,0.846,0.364,0.25,0.154,0,NA,0,NA,NA,0.231,0.667,2014-15,Cornell
Robert Mischler,7.000000000000001,0.812,0.929,0.14300000000000002,1,0,0.14300000000000002,1,0,0.7140000000000001,0.6,1,0.857,0.5,2014-15,Cornell
Kyle Brown,3,0.5,0.5,0.33299999999999996,0,NA,0,NA,NA,0.667,0.5,1,0,NA,2014-15,Cornell
Desmond Fleming,2,0.584,0.5,0,NA,NA,1,0.5,1,0,NA,NA,1.5,0.667,2014-15,Cornell
Braxston Bunce,1,0.256,0,1,0,NA,0,NA,NA,0,NA,NA,2,0.5,2014-15,Cornell
Total,1558,0.505,0.45299999999999996,0.33299999999999996,0.5529999999999999,0.341,0.295,0.32,0.38799999999999996,0.37200000000000005,0.313,0.862,0.392,0.7490000000000001,2014-15,Cornell
