name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Elijah Bryant,385,0.501,0.439,0.28800000000000003,0.45899999999999996,0.098,0.384,0.35100000000000003,0.038,0.327,0.349,0.341,0.449,0.7509999999999999,2014-15,Elon
Tanner Samson,346,0.538,0.499,0.066,0.478,0.818,0.107,0.18899999999999997,0.5710000000000001,0.8270000000000001,0.36,0.932,0.237,0.841,2014-15,Elon
Austin Hamilton,245.00000000000003,0.51,0.484,0.253,0.613,0.289,0.36700000000000005,0.37799999999999995,0.08800000000000001,0.38,0.33299999999999996,0.742,0.306,0.653,2014-15,Elon
Kevin Blake,196,0.546,0.523,0.429,0.643,0.48100000000000004,0.26,0.275,0.214,0.311,0.377,0.9129999999999999,0.51,0.61,2014-15,Elon
Dmitri Thompson,179,0.48800000000000004,0.483,0.469,0.7020000000000001,0.441,0.402,0.278,0.35,0.128,0.217,0.6,0.307,0.491,2014-15,Elon
Tony Sabato,126,0.388,0.373,0.397,0.52,0.8079999999999999,0.603,0.276,0.429,0,NA,NA,0.325,0.46299999999999997,2014-15,Elon
Christian Hairston,118,0.638,0.619,0.61,0.792,0.667,0.381,0.35600000000000004,0.312,0.008,0,NA,0.466,0.691,2014-15,Elon
Ryan Winters,99,0.483,0.434,0.596,0.525,0.452,0.40399999999999997,0.3,0.33299999999999996,0,NA,NA,0.40399999999999997,0.7,2014-15,Elon
Luke Eddy,88,0.696,0.6759999999999999,0.43200000000000005,0.711,0.037000000000000005,0.182,0.43799999999999994,0,0.386,0.5,0.765,0.35200000000000004,0.774,2014-15,Elon
Collin Luther,63,0.464,0.42100000000000004,0.159,0.4,0.25,0.127,0.375,0.667,0.7140000000000001,0.289,1,0.27,0.765,2014-15,Elon
Jack Anton,46,0.477,0.435,0.326,0.6,0.667,0.522,0.33299999999999996,0.75,0.152,0.28600000000000003,1,0.435,0.65,2014-15,Elon
Ryder Bowline,5,0.639,0.7,0.4,1,0.5,0,NA,NA,0.6,0.33299999999999996,1,0.2,0,2014-15,Elon
Patrick Ryan,4,0.303,0.25,0.25,1,0,0,NA,NA,0.75,0,NA,0.5,0.5,2014-15,Elon
Sam Hershberger,3,0.9039999999999999,0.833,0.33299999999999996,1,0,0,NA,NA,0.667,0.5,1,1,1,2014-15,Elon
Wes Brewer,3,0.6669999999999999,0.667,0.667,1,1,0.33299999999999996,0,NA,0,NA,NA,0,NA,2014-15,Elon
Total,1905.9999999999998,0.521,0.486,0.322,0.607,0.43200000000000005,0.319,0.319,0.23199999999999998,0.359,0.35100000000000003,0.7829999999999999,0.365,0.6829999999999999,2014-15,Elon
