name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Joshua Smith,47,0.248,0.25,0.6829999999999999,0.13,0.105,0.33299999999999996,2014-15,Georgetown
Mikael Hopkins,24,0.253,0.28600000000000003,0.522,0.033,0,0,2014-15,Georgetown
Aaron Bowen,14,0.153,0.12300000000000001,0.5379999999999999,0.04,0.125,1,2014-15,Georgetown
Isaac Copeland,13,0.2,0.212,0.636,0.027000000000000003,0.069,1,2014-15,Georgetown
L.J. Peak,9,0.052000000000000005,0.065,0.667,0.064,0.083,0.33299999999999996,2014-15,Georgetown
Paul White,6,0.19399999999999998,0.188,0.5,0,0,NA,2014-15,Georgetown
D'Vauntes Smith-Rivera,6,0.07400000000000001,0.10800000000000001,1,0,0,NA,2014-15,Georgetown
Jabril Trawick,6,0.049,0.065,0.8,0.062,0,0,2014-15,Georgetown
Bradley Hayes,4,0.6,0.6,1,0.16699999999999998,0,0,2014-15,Georgetown
Riyan Williams,1,NA,NA,NA,0.5,NA,0,2014-15,Georgetown
Tre Campbell,1,0.037000000000000005,0,0,0,0,NA,2014-15,Georgetown
Total,131,0.154,0.16399999999999998,0.637,0.036000000000000004,0.038,0.375,2014-15,Georgetown
