name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Alfonzo McKinnie,18,0.161,0.153,0.643,0.049,0.08,0.5,2014-15
Jordan Fouse,16,0.12,0.10300000000000001,0.6,0.078,0.121,0.667,2014-15
Daeshon Francis,10,0.127,0.08199999999999999,0.444,0.071,0,0,2014-15
Greg Mays,9,0.068,0.071,0.778,0,0,NA,2014-15
Kenneth Lowe,8,0.098,0.14300000000000002,0.833,0.065,0.077,0.5,2014-15
Keifer Sykes,6,0.035,0.043,0.8,0.005,0.013999999999999999,1,2014-15
Carrington Love,3,0.01,0,0,0.036000000000000004,0.077,0.5,2014-15
Khalil Small,3,0.17600000000000002,0.125,0.33299999999999996,0,0,NA,2014-15
Kerem Kanter,1,0.1,0.125,1,0,0,NA,2014-15
Henry Uwadiae,1,0.1,0.14300000000000002,1,0,NA,NA,2014-15
Turner Botz,1,0.16699999999999998,0.33299999999999996,1,0,0,NA,2014-15
Total,76,0.08199999999999999,0.081,0.65,0.027000000000000003,0.043,0.562,2014-15
