name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Janarius Middleton,28,0.309,0.302,0.64,0.055,0.042,0.33299999999999996,2014-15,JacksonSt.
Derrell Taylor,23,0.209,0.23600000000000002,0.722,0.109,0.214,0.6,2014-15,JacksonSt.
Raeford Worsham,19,0.134,0.182,0.75,0.051,0.083,0.33299999999999996,2014-15,JacksonSt.
Kaven Bernard,18,0.132,0.147,0.667,0.027000000000000003,0.024,0.33299999999999996,2014-15,JacksonSt.
Treshawn Bolden,8,0.062,0.11599999999999999,0.833,0.027000000000000003,0,0,2014-15,JacksonSt.
Dontaveon Robinson,6,0.102,0.14800000000000002,0.667,0,0,NA,2014-15,JacksonSt.
Pierre Crawford,6,0.33299999999999996,0.375,0.5,0,0,NA,2014-15,JacksonSt.
Javares Brent,4,0.25,0.33299999999999996,0.33299999999999996,0,0,NA,2014-15,JacksonSt.
Yettra Specks,3,0.047,0,0,0.032,0,0,2014-15,JacksonSt.
Jonathan Thomas,2,0.14300000000000002,0.28600000000000003,1,0,0,NA,2014-15,JacksonSt.
Dre'Sean Looney,2,0.1,0,0,0,0,NA,2014-15,JacksonSt.
Gerrald Maddox,1,0,0,NA,0.25,NA,0,2014-15,JacksonSt.
Jaleel Queary,1,0.038,0,0,0,0,NA,2014-15,JacksonSt.
Marcus Love,1,0,0,NA,0.091,0.16699999999999998,1,2014-15,JacksonSt.
Total,122,0.14400000000000002,0.17800000000000002,0.647,0.035,0.039,0.368,2014-15,JacksonSt.
