name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Antwon Clayton,12,0.193,0.17600000000000002,0.545,0.034,0.16699999999999998,1,2014-15
J.R. Holder,11,0.079,0.066,0.444,0.03,0,0,2014-15
Tim Gill,10,0.184,0.308,0.5710000000000001,0.086,0.133,0.667,2014-15
Kori Babineaux,6,0.02,0.009000000000000001,0.25,0.011000000000000001,0.026000000000000002,1,2014-15
Andris Misters,5,0.068,0.08900000000000001,0.8,0,0,NA,2014-15
Josh Murray,5,0.312,0.33299999999999996,0.4,0,0,NA,2014-15
EL,4,0.2,0.28600000000000003,0.667,0.062,0,0,2014-15
Marcel White,3,0.04,0.091,1,0.065,0,0,2014-15
Josh Adeyeye,1,0.037000000000000005,0.062,1,0,0,NA,2014-15
Total,57,0.075,0.078,0.5429999999999999,0.021,0.027999999999999997,0.455,2014-15
