name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Jimmy Hall,363,0.561,0.534,0.444,0.59,0.4,0.5429999999999999,0.48700000000000004,0.344,0.013999999999999999,0.4,0.5,0.355,0.682,2014-15
Devareaux Manley,361,0.585,0.557,0.086,0.581,0.16699999999999998,0.11900000000000001,0.27899999999999997,0.16699999999999998,0.795,0.397,0.825,0.258,0.774,2014-15
Kris Brewer,301,0.48900000000000005,0.44,0.239,0.556,0.2,0.316,0.295,0.14300000000000002,0.445,0.321,0.535,0.48200000000000004,0.669,2014-15
Derek Jackson,291,0.557,0.5329999999999999,0.244,0.507,0.278,0.22,0.312,0.1,0.536,0.423,0.545,0.244,0.732,2014-15
Chris Ortiz,180,0.496,0.442,0.35,0.5710000000000001,0.444,0.278,0.36,0.33299999999999996,0.37200000000000005,0.254,0.882,0.478,0.698,2014-15
Khaliq Spicer,132,0.518,0.515,0.652,0.581,0.76,0.348,0.391,0.222,0,NA,NA,0.5760000000000001,0.5,2014-15
Craig Brown,75,0.314,0.26,0.213,0.188,0,0.45299999999999996,0.265,0.444,0.33299999999999996,0.2,1,0.307,0.652,2014-15
Gary Akbar,68,0.45799999999999996,0.456,0.588,0.575,0.391,0.41200000000000003,0.28600000000000003,0.25,0,NA,NA,0.735,0.44,2014-15
Kellon Thomas,42,0.392,0.31,0.23800000000000002,0.5,0.2,0.429,0.278,0.2,0.33299999999999996,0.14300000000000002,0.5,0.452,0.737,2014-15
Marquiez Lawrence,27,0.48400000000000004,0.48100000000000004,0.7040000000000001,0.579,0.182,0.29600000000000004,0.25,0.5,0,NA,NA,0.556,0.467,2014-15
Raasean Davis,21,0.587,0.5710000000000001,0.667,0.5710000000000001,0.25,0.33299999999999996,0.5710000000000001,0,0,NA,NA,0.28600000000000003,0.667,2014-15
Blake Vedder,6,0.583,0.583,0.16699999999999998,1,1,0.16699999999999998,1,1,0.667,0.25,1,0,NA,2014-15
Jon Fleming,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2014-15
"WATSON,ELIJAH",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,1868,0.524,0.494,0.313,0.5579999999999999,0.39299999999999996,0.316,0.374,0.271,0.371,0.361,0.7040000000000001,0.382,0.6579999999999999,2014-15
