name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Jarell Martin,397,0.5650000000000001,0.526,0.506,0.687,0.601,0.363,0.34700000000000003,0.34,0.131,0.26899999999999996,0.929,0.511,0.69,2014-15,LSU
Jordan Mickey,379,0.533,0.505,0.41200000000000003,0.6729999999999999,0.61,0.565,0.397,0.6,0.024,0.111,1,0.38799999999999996,0.6459999999999999,2014-15,LSU
Keith Hornsby,370,0.545,0.519,0.21100000000000002,0.705,0.309,0.295,0.266,0.345,0.495,0.39299999999999996,0.9309999999999999,0.2,0.784,2014-15,LSU
Tim Quarterman,293,0.539,0.495,0.348,0.667,0.574,0.215,0.27,0.235,0.43700000000000006,0.312,0.925,0.423,0.718,2014-15,LSU
Josh Gray,217,0.45000000000000007,0.429,0.461,0.56,0.321,0.295,0.25,0.125,0.244,0.264,0.7859999999999999,0.276,0.583,2014-15,LSU
Jalyn Patterson,184,0.544,0.527,0.152,0.7140000000000001,0.4,0.207,0.289,0.273,0.6409999999999999,0.373,0.8640000000000001,0.10300000000000001,0.8420000000000001,2014-15,LSU
Brian Bridgewater,52,0.55,0.5379999999999999,0.615,0.594,0.632,0.385,0.45,0.667,0,NA,NA,0.212,0.636,2014-15,LSU
Aaron Epps,24,0.375,0.375,0.25,0.667,0.5,0.41700000000000004,0.2,0,0.33299999999999996,0.25,1,0,NA,2014-15,LSU
Darcy Malone,21,0.41200000000000003,0.381,0.381,0.625,0.2,0.381,0.375,0,0.23800000000000002,0,NA,0.5710000000000001,0.5,2014-15,LSU
John Odo,14.000000000000002,0.593,0.5710000000000001,0.7140000000000001,0.7,0.7140000000000001,0.28600000000000003,0.25,0,0,NA,NA,0.429,0.667,2014-15,LSU
Elbert Robinson Iii,7.000000000000001,0.377,0.429,0.28600000000000003,0.5,0,0.7140000000000001,0.4,0.5,0,NA,NA,0.28600000000000003,0,2014-15,LSU
Brandon Eddlestone,2,0.75,0.75,0.5,0,NA,0,NA,NA,0.5,1,1,0,NA,2014-15,LSU
Henry Shortess,1,1.5,1.5,0,NA,NA,0,NA,NA,1,1,1,0,NA,2014-15,LSU
32,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2014-15,LSU
Total,1962,0.533,0.503,0.369,0.66,0.521,0.34700000000000003,0.331,0.418,0.284,0.33899999999999997,0.905,0.335,0.684,2014-15,LSU
