name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Michale Kyser,34,0.18600000000000003,0.184,0.7040000000000001,0.11699999999999999,0.048,0.14300000000000002,2014-15
Erik McCree,27,0.23800000000000002,0.24100000000000002,0.7,0.059000000000000004,0.055999999999999994,0.429,2014-15
Qiydar Davis,14,0.21899999999999997,0.19,0.5710000000000001,0.175,0.41700000000000004,0.7140000000000001,2014-15
Xavian Stapleton,8,0.042,0.027999999999999997,0.5,0.15,0.133,0.33299999999999996,2014-15
Raheem Appleby,6,0.024,0.039,1,0.015,0.013000000000000001,0.33299999999999996,2014-15
Leo Edwards,6,0.5,0.5,0.667,0.5,0.33299999999999996,0.33299999999999996,2014-15
Alex Hamilton,6,0.025,0.031,0.75,0.019,0.028999999999999998,0.5,2014-15
Merrill Holden,4,0.21100000000000002,0.231,0.75,0,0,NA,2014-15
Jacobi Boykins,3,0.05,0.067,1,0.083,0,0,2014-15
Joniah White,3,0.16699999999999998,0.125,0.5,0.2,0,0,2014-15
Kenneth Smith,2,0.053,0.091,1,0,0,NA,2014-15
Total,113,0.11199999999999999,0.12,0.703,0.055999999999999994,0.057,0.37799999999999995,2014-15
