name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Trahson Burrell,41,0.31,0.29,0.5710000000000001,0.096,0,0,2014-15,Memphis
Austin Nichols,34,0.205,0.172,0.5329999999999999,0.027000000000000003,0.036000000000000004,0.5,2014-15,Memphis
Shaq Goodwin,27,0.193,0.183,0.565,0.057999999999999996,0.055999999999999994,0.5,2014-15,Memphis
Nick King,26,0.253,0.22399999999999998,0.478,0.044000000000000004,0.053,0.33299999999999996,2014-15,Memphis
Calvin Godfrey,19,0.233,0.268,0.647,0.048,0.111,0.5,2014-15,Memphis
Chris Hawkins,9,0.273,0.25,0.444,0,0,NA,2014-15,Memphis
Kuran Iverson,4,0.222,0.111,0.25,0,0,NA,2014-15,Memphis
Markel Crawford,4,0.062,0.025,0.25,0,0,NA,2014-15,Memphis
Avery Woodson,3,0.031,0,0,0.03,0,0,2014-15,Memphis
Kedren Johnson,3,0.081,0.067,0.33299999999999996,0,0,NA,2014-15,Memphis
D'Marnier Cunningham,1,0,0,NA,0.062,0,0,2014-15,Memphis
Total,171,0.187,0.174,0.523,0.038,0.032,0.3,2014-15,Memphis
