name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Eric Washington,298,0.58,0.5,0.426,0.583,0.21600000000000003,0.315,0.38299999999999995,0.083,0.258,0.33799999999999997,0.731,0.6409999999999999,0.8009999999999999,2014-15,Miami(OH)
Geovonie McKnight,290,0.4730000000000001,0.431,0.33399999999999996,0.608,0.305,0.5660000000000001,0.366,0.217,0.1,0.138,0.75,0.33399999999999996,0.701,2014-15,Miami(OH)
Will Sullivan,219,0.6599999999999999,0.635,0.237,0.654,0.324,0.078,0.353,0.33299999999999996,0.685,0.44,0.97,0.297,0.8,2014-15,Miami(OH)
Willie Moore,179,0.553,0.511,0.358,0.562,0.278,0.151,0.222,0,0.49200000000000005,0.375,0.909,0.374,0.746,2014-15,Miami(OH)
Zach McCormick,144,0.4280000000000001,0.424,0.188,0.593,0.25,0.368,0.396,0.095,0.444,0.25,1,0.132,0.474,2014-15,Miami(OH)
Jaryd Eustace,104,0.44800000000000006,0.428,0.125,0.462,0.667,0.115,0.083,0,0.76,0.316,1,0.221,0.609,2014-15,Miami(OH)
Logan McLane,97,0.551,0.552,0.423,0.585,0.792,0.33,0.5,0.43799999999999994,0.247,0.375,1,0.258,0.52,2014-15,Miami(OH)
Chris Bryant,87,0.55,0.5,0.609,0.547,0.69,0.345,0.433,0.154,0.046,0.25,1,0.621,0.685,2014-15,Miami(OH)
LJ Livingston,79,0.653,0.6709999999999999,0.696,0.873,0.792,0.304,0.20800000000000002,0.2,0,NA,NA,0.506,0.55,2014-15,Miami(OH)
Kalif Wright,72,0.4320000000000001,0.40299999999999997,0.597,0.488,0.857,0.40299999999999997,0.276,0.625,0,NA,NA,0.33299999999999996,0.583,2014-15,Miami(OH)
Rod Mills,26,0.40800000000000003,0.385,0.154,0.75,0.33299999999999996,0.385,0.1,0,0.462,0.33299999999999996,1,0.077,1,2014-15,Miami(OH)
Joshua Oswald,17,0.344,0.294,0.353,0.667,0.75,0.353,0.16699999999999998,0,0.294,0,NA,0.235,0.75,2014-15,Miami(OH)
John Hawkins,8,0.391,0.375,0.5,0.75,0.667,0.375,0,NA,0.125,0,NA,0.25,0.5,2014-15,Miami(OH)
Brian Oddo,8,0.5,0.5,0.375,0.667,0,0.25,1,1,0.375,0,NA,0,NA,2014-15,Miami(OH)
Tre Hawkins,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,Miami(OH)
"TAYLOR,STEVIE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,Miami(OH)
Total,1628,0.537,0.498,0.36200000000000004,0.61,0.457,0.309,0.35,0.21,0.32899999999999996,0.34299999999999997,0.929,0.377,0.715,2014-15,Miami(OH)
