name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Angelo Warner,296,0.605,0.5710000000000001,0.33799999999999997,0.65,0.354,0.22,0.4,0.34600000000000003,0.44299999999999995,0.397,0.9229999999999999,0.345,0.775,2014-15,MoreheadSt.
Brent Arrington,290,0.525,0.466,0.331,0.562,0.35200000000000004,0.33799999999999997,0.337,0.39399999999999996,0.331,0.33299999999999996,0.9059999999999999,0.45899999999999996,0.759,2014-15,MoreheadSt.
Karam Mashour,280,0.56,0.529,0.557,0.628,0.602,0.193,0.37,0.4,0.25,0.28600000000000003,1,0.364,0.706,2014-15,MoreheadSt.
Corban Collins,208,0.505,0.45399999999999996,0.221,0.565,0.308,0.24,0.32,0.312,0.5379999999999999,0.312,0.8859999999999999,0.322,0.7909999999999999,2014-15,MoreheadSt.
Billy Reader,206,0.49100000000000005,0.47600000000000003,0.573,0.551,0.631,0.42700000000000005,0.375,0.424,0,NA,NA,0.28600000000000003,0.5760000000000001,2014-15,MoreheadSt.
Kareem Storey,190,0.52,0.455,0.521,0.455,0.17800000000000002,0.121,0.174,0.25,0.358,0.368,0.88,0.368,0.843,2014-15,MoreheadSt.
Miguel Dicent,114.99999999999999,0.49100000000000005,0.465,0.243,0.46399999999999997,0.5379999999999999,0.14800000000000002,0.353,0.5,0.609,0.32899999999999996,1,0.209,0.708,2014-15,MoreheadSt.
Anthony Elechi,81,0.544,0.525,0.556,0.644,0.621,0.395,0.375,0.5,0.049,0.25,1,0.21,0.706,2014-15,MoreheadSt.
Marquel Willis,68,0.526,0.449,0.324,0.591,0.6920000000000001,0.265,0.222,0.25,0.41200000000000003,0.321,1,0.544,0.784,2014-15,MoreheadSt.
Lyonell Gaines,62,0.539,0.54,0.452,0.7859999999999999,0.5,0.452,0.35700000000000004,0.8,0.09699999999999999,0.16699999999999998,1,0.29,0.5,2014-15,MoreheadSt.
Marcus Fuggins,37,0.402,0.43200000000000005,0.622,0.478,0.273,0.35100000000000003,0.385,0.8,0.027000000000000003,0,NA,0.865,0.312,2014-15,MoreheadSt.
Chad Donley,31,0.51,0.516,0.065,0.5,1,0.09699999999999999,0,NA,0.8390000000000001,0.385,1,0.29,0.444,2014-15,MoreheadSt.
Jalen Courtney,10,0.3,0.3,0.2,1,0.5,0.5,0.2,1,0.3,0,NA,0,NA,2014-15,MoreheadSt.
Jared Ravenscraft,9,0.905,0.9440000000000001,0.111,1,1,0,NA,NA,0.889,0.625,1,0.222,0.5,2014-15,MoreheadSt.
"FLOMO,KEDRICK",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,MoreheadSt.
Total,1882.9999999999998,0.533,0.496,0.40700000000000003,0.581,0.47,0.262,0.344,0.429,0.331,0.342,0.934,0.35700000000000004,0.7140000000000001,2014-15,MoreheadSt.
