name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
T.J. Carpenter,248,0.48600000000000004,0.45,0.371,0.5870000000000001,0.37,0.17300000000000001,0.256,0.182,0.456,0.27399999999999997,0.871,0.36700000000000005,0.659,2014-15
Ja'Dante' Frye,221,0.549,0.509,0.629,0.525,0.521,0.335,0.514,0.316,0.036000000000000004,0.125,1,0.462,0.696,2014-15
Sam McBeath,193,0.539,0.508,0.534,0.583,0.6829999999999999,0.10400000000000001,0.25,0.2,0.363,0.314,0.955,0.508,0.633,2014-15
Amin Torres,189,0.554,0.508,0.27,0.569,0.207,0.185,0.28600000000000003,0.4,0.545,0.369,0.632,0.32799999999999996,0.8059999999999999,2014-15
Luka Kamber,142,0.521,0.518,0.113,0.43799999999999994,0.5710000000000001,0.127,0.444,0.5,0.7609999999999999,0.361,0.9740000000000001,0.155,0.545,2014-15
Liam Thomas,122,0.602,0.594,0.705,0.674,0.7240000000000001,0.12300000000000001,0.267,1,0.172,0.33299999999999996,0.857,0.475,0.603,2014-15
Richie Lewis,112.00000000000001,0.43300000000000005,0.375,0.607,0.426,0.24100000000000002,0.214,0.292,0.14300000000000002,0.179,0.2,1,0.455,0.667,2014-15
Jamarkus Horace,70,0.453,0.47100000000000003,0.857,0.45,0.40700000000000003,0.14300000000000002,0.6,0.5,0,NA,NA,0.386,0.33299999999999996,2014-15
Travis Julien,65,0.49100000000000005,0.523,0.754,0.612,0.6,0.215,0.28600000000000003,0.25,0.031,0,NA,0.6,0.359,2014-15
Quinton Thomas,43,0.543,0.488,0.535,0.7390000000000001,0.41200000000000003,0.09300000000000001,0.25,0,0.37200000000000005,0.125,1,1.186,0.608,2014-15
Marquis Nelson,41,0.402,0.415,0.341,0.28600000000000003,0.5,0.195,0.5,0,0.46299999999999997,0.316,0.833,0.195,0.25,2014-15
Zach Young,13,0.197,0.077,0.308,0.25,0,0.385,0,NA,0.308,0,NA,0.769,0.5,2014-15
Denzel Flemings,6,0.36,0.33299999999999996,0.833,0.4,1,0,NA,NA,0.16699999999999998,0,NA,0.33299999999999996,0.5,2014-15
"HALL,DEVONTE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
"ALFORD,BRYCE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,1465,0.515,0.48700000000000004,0.485,0.551,0.506,0.184,0.363,0.327,0.331,0.309,0.853,0.424,0.622,2014-15
