name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jeremy Combs,32,0.19899999999999998,0.172,0.586,0.044000000000000004,0.048,0.33299999999999996,2014-15,NorthTexas
Colin Voss,23,0.275,0.353,0.857,0.054000000000000006,0.013999999999999999,0.111,2014-15,NorthTexas
Jordan Williams,18,0.109,0.127,0.667,0.045,0,0,2014-15,NorthTexas
Armani Flannigan,17,0.19699999999999998,0.22,0.75,0.147,0.222,0.4,2014-15,NorthTexas
Muhammed Ahmed,15,0.14800000000000002,0.179,0.625,0.19399999999999998,0,0,2014-15,NorthTexas
T.J. Taylor,4,0.055999999999999994,0.042,0.5,0.016,0.04,1,2014-15,NorthTexas
Maurice Aniefiok,3,0.091,0.1,1,0,0,NA,2014-15,NorthTexas
Chris Campbell,1,1,NA,0,NA,NA,NA,2014-15,NorthTexas
Deandre Harris,1,0,0,NA,0,0,NA,2014-15,NorthTexas
Total,114,0.14300000000000002,0.152,0.675,0.049,0.022000000000000002,0.161,2014-15,NorthTexas
