name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Jerian Grant,415.00000000000006,0.591,0.535,0.313,0.731,0.242,0.311,0.40299999999999997,0.17300000000000001,0.376,0.321,0.4,0.516,0.78,2014-15
Pat Connaughton,349,0.616,0.599,0.278,0.557,0.48100000000000004,0.1,0.486,0.47100000000000003,0.622,0.424,0.9570000000000001,0.17800000000000002,0.774,2014-15
Demetrius Jackson,323,0.615,0.5870000000000001,0.42100000000000004,0.5660000000000001,0.20800000000000002,0.192,0.532,0.121,0.387,0.424,0.679,0.337,0.752,2014-15
Zach Auguste,293,0.624,0.614,0.693,0.7190000000000001,0.685,0.307,0.37799999999999995,0.5589999999999999,0,NA,NA,0.491,0.632,2014-15
Steve Vasturia,268,0.637,0.604,0.313,0.595,0.4,0.142,0.579,0.455,0.545,0.41100000000000003,0.9670000000000001,0.239,0.875,2014-15
V.J. Beachem,145,0.617,0.6,0.159,0.522,0.16699999999999998,0.145,0.5710000000000001,0.083,0.6970000000000001,0.41600000000000004,0.976,0.2,0.759,2014-15
Bonzie Colson,107,0.648,0.612,0.486,0.7120000000000001,0.568,0.449,0.562,0.556,0.065,0.14300000000000002,0,0.551,0.746,2014-15
Austin Torres,34,0.6839999999999999,0.6759999999999999,1,0.6759999999999999,0.7829999999999999,0,NA,NA,0,NA,NA,0.294,0.7,2014-15
Austin Burgett,27,0.5700000000000001,0.574,0.519,0.857,0.667,0.07400000000000001,1,1,0.40700000000000003,0.091,1,0.222,0.5,2014-15
Martinas Geben,20,0.61,0.55,0.9,0.556,0.8,0.1,0.5,1,0,NA,NA,1,0.7,2014-15
Eric Katenda,17,0.306,0.235,0.41200000000000003,0.28600000000000003,0.5,0.588,0.2,0,0,NA,NA,0.529,0.556,2014-15
Matt Farrell,13,0.41700000000000004,0.26899999999999996,0.154,0,NA,0.385,0.4,0,0.462,0.16699999999999998,1,0.615,0.875,2014-15
Matt Gregory,3,0.40800000000000003,0.33299999999999996,1,0.33299999999999996,0,0,NA,NA,0,NA,NA,1.3330000000000002,0.5,2014-15
Total,2014,0.612,0.5820000000000001,0.39899999999999997,0.6459999999999999,0.46799999999999997,0.21899999999999997,0.462,0.33799999999999997,0.382,0.39,0.8170000000000001,0.366,0.743,2014-15
