name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kahlil Felder,434,0.553,0.47600000000000003,0.348,0.53,0.1,0.332,0.389,0.107,0.32,0.33799999999999997,0.574,0.516,0.826,2014-15,Oakland
Corey Petros,334,0.582,0.602,0.503,0.732,0.7559999999999999,0.494,0.473,0.564,0.003,0,NA,0.446,0.46299999999999997,2014-15,Oakland
Dante Williams,291,0.535,0.521,0.192,0.7140000000000001,0.525,0.14800000000000002,0.256,0.091,0.66,0.349,0.985,0.134,0.718,2014-15,Oakland
Jalen Hayes,199,0.557,0.508,0.5429999999999999,0.602,0.785,0.397,0.38,0.5329999999999999,0.06,0.33299999999999996,1,0.573,0.7020000000000001,2014-15,Oakland
Max Hooper,167,0.5680000000000001,0.563,0.006,1,0,0.042,0.429,0.667,0.9520000000000001,0.377,0.9329999999999999,0.048,0.75,2014-15,Oakland
Tommie McCune,153,0.5740000000000001,0.539,0.366,0.696,0.513,0.379,0.414,0.41700000000000004,0.255,0.33299999999999996,0.6920000000000001,0.51,0.679,2014-15,Oakland
Nick Daniels,123,0.62,0.602,0.21100000000000002,0.423,0.273,0.187,0.391,0.222,0.602,0.486,0.9440000000000001,0.309,0.711,2014-15,Oakland
Ralph Hill,77,0.615,0.584,0.14300000000000002,0.818,0.667,0.013000000000000001,0,NA,0.8440000000000001,0.369,0.917,0.20800000000000002,0.875,2014-15,Oakland
Femi Olujobi,40,0.4070000000000001,0.375,0.5,0.6,0.5,0.275,0.273,0.33299999999999996,0.225,0,NA,0.675,0.48100000000000004,2014-15,Oakland
Collin Weaver,30,0.468,0.45,0.1,0.667,0,0.067,0.5,0,0.833,0.28,1,0.067,1,2014-15,Oakland
Alek Frascone,4,0.625,0.625,0.5,0.5,1,0.25,0,NA,0.25,1,1,0,NA,2014-15,Oakland
Tom Cotter,2,0,0,0.5,0,NA,0.5,0,NA,0,NA,NA,0,NA,2014-15,Oakland
Total,1854,0.561,0.532,0.325,0.635,0.546,0.289,0.402,0.381,0.386,0.36200000000000004,0.873,0.375,0.6859999999999999,2014-15,Oakland
