name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Trey Freeman,501.99999999999994,0.52,0.48700000000000004,0.122,0.6559999999999999,0.275,0.616,0.434,0.21600000000000003,0.263,0.35600000000000004,0.851,0.27899999999999997,0.7290000000000001,2014-15
Aaron Bacote,267,0.528,0.449,0.311,0.542,0.311,0.24,0.281,0.444,0.449,0.317,0.9209999999999999,0.457,0.8440000000000001,2014-15
Jonathan Arledge,264,0.49300000000000005,0.466,0.33,0.655,0.579,0.44299999999999995,0.359,0.667,0.22699999999999998,0.267,1,0.371,0.612,2014-15
Ambrose Mosley,229,0.509,0.491,0.092,0.524,0.455,0.096,0.318,0.429,0.812,0.33899999999999997,1,0.14400000000000002,0.727,2014-15
Richard Ross,222.00000000000003,0.586,0.595,0.617,0.7809999999999999,0.589,0.38299999999999995,0.294,0.48,0,NA,NA,0.225,0.48,2014-15
Jordan Baker,132,0.47000000000000003,0.462,0.136,0.444,0.375,0.083,0.182,0,0.78,0.33,0.971,0.16699999999999998,0.545,2014-15
Denzell Taylor,80,0.536,0.55,0.888,0.62,0.545,0.11199999999999999,0,NA,0,NA,NA,0.425,0.441,2014-15
Keenan Palmore,77,0.49100000000000005,0.46799999999999997,0.597,0.565,0.154,0.35100000000000003,0.37,0.4,0.052000000000000005,0,NA,0.40299999999999997,0.581,2014-15
Javonte Douglas,74,0.483,0.45899999999999996,0.608,0.6,0.63,0.297,0.182,0.75,0.095,0.28600000000000003,1,0.514,0.5529999999999999,2014-15
Nik Biberaj,61,0.42900000000000005,0.402,0.39299999999999996,0.45799999999999996,0.636,0.27899999999999997,0.17600000000000002,0.667,0.32799999999999996,0.35,1,0.23,0.643,2014-15
Deion Clark,15,0.409,0.33299999999999996,0.467,0.7140000000000001,0.4,0.267,0,NA,0.267,0,NA,0.467,0.7140000000000001,2014-15
Martin Shaw,9,0.15100000000000002,0.111,0.556,0.2,0,0.444,0,NA,0,NA,NA,0.222,0.5,2014-15
Joe Ebondo,3,0.5760000000000001,0.667,1,0.667,1,0,NA,NA,0,NA,NA,0.33299999999999996,0,2014-15
Total,1935.0000000000002,0.513,0.486,0.314,0.632,0.48200000000000004,0.35700000000000004,0.355,0.363,0.32899999999999996,0.325,0.9470000000000001,0.306,0.6659999999999999,2014-15
