name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Desean Murray,32,0.21100000000000002,0.25,0.731,0.057,0,0,2014-15,Presbyterian
William Truss,22,0.157,0.185,0.895,0.043,0,0,2014-15,Presbyterian
Ed Drew,20,0.26,0.18600000000000003,0.42100000000000004,0.021,0,0,2014-15,Presbyterian
Jordan Downing,8,0.043,0.025,0.33299999999999996,0.027000000000000003,0.027000000000000003,0.4,2014-15,Presbyterian
Ruben Arroyo-Felix,5,0.138,0.25,1,0.02,0.043,1,2014-15,Presbyterian
Markus Terry,3,0,0,NA,0.042,0,0,2014-15,Presbyterian
Davon Bell,2,0.022000000000000002,0.043,1,0.038,0,0,2014-15,Presbyterian
Austin Anderson,2,0.067,0.071,0.5,0,0,NA,2014-15,Presbyterian
Stephen Osu,1,1,NA,0,0,0,NA,2014-15,Presbyterian
Total,95,0.121,0.135,0.68,0.033,0.013000000000000001,0.15,2014-15,Presbyterian
