name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Zaid Hearst,455.99999999999994,0.521,0.47600000000000003,0.235,0.598,0.203,0.45,0.45399999999999996,0.462,0.316,0.278,0.85,0.327,0.772,2014-15,Quinnipiac
Ousmane Drame,347,0.527,0.457,0.669,0.478,0.55,0.32299999999999995,0.41100000000000003,0.7170000000000001,0.009000000000000001,0.33299999999999996,1,0.461,0.8059999999999999,2014-15,Quinnipiac
Evan Conti,236,0.506,0.466,0.237,0.46399999999999997,0.231,0.174,0.293,0.41700000000000004,0.589,0.345,1,0.267,0.778,2014-15,Quinnipiac
Justin Harris,204.99999999999997,0.503,0.43200000000000005,0.624,0.508,0.431,0.307,0.349,0.909,0.068,0.071,1,0.449,0.7929999999999999,2014-15,Quinnipiac
James Ford,140,0.485,0.439,0.14300000000000002,0.3,0.5,0.214,0.3,0.778,0.643,0.344,1,0.264,0.8109999999999999,2014-15,Quinnipiac
Ayron Hutton,132,0.434,0.43200000000000005,0.14400000000000002,0.42100000000000004,0.375,0.22,0.138,0.5,0.636,0.35700000000000004,0.867,0.083,0.455,2014-15,Quinnipiac
Kasim Chandler,99,0.43700000000000006,0.293,0.556,0.345,0.158,0.303,0.233,0.14300000000000002,0.141,0.14300000000000002,0.5,0.7170000000000001,0.8170000000000001,2014-15,Quinnipiac
Chaise Daniels,89,0.48700000000000004,0.47200000000000003,0.674,0.5,0.6,0.326,0.414,1,0,NA,NA,0.225,0.6,2014-15,Quinnipiac
"FLORAS,DIMITRI",72,0.34099999999999997,0.306,0.23600000000000002,0.294,0.2,0.19399999999999998,0.14300000000000002,0.5,0.569,0.244,0.5,0.20800000000000002,0.667,2014-15,Quinnipiac
Alain Chigha,15,0.49699999999999994,0.4,0.6,0.33299999999999996,0.667,0.067,0,NA,0.33299999999999996,0.4,1,1,0.667,2014-15,Quinnipiac
Samuel Dingba,13,0.451,0.385,0.5379999999999999,0.5710000000000001,0.75,0.462,0.16699999999999998,1,0,NA,NA,0.769,0.6,2014-15,Quinnipiac
Emanuel Binyam,5,0,0,0.6,0,NA,0.2,0,NA,0.2,0,NA,0,NA,2014-15,Quinnipiac
Greg Tarca,3,0.33299999999999996,0.33299999999999996,0.33299999999999996,1,1,0.33299999999999996,0,NA,0.33299999999999996,0,NA,0,NA,2014-15,Quinnipiac
Samir Kalil,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2014-15,Quinnipiac
Total,1813,0.494,0.44,0.39399999999999996,0.479,0.415,0.31,0.37,0.601,0.29600000000000004,0.307,0.903,0.355,0.773,2014-15,Quinnipiac
