name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Mikh McKinney,432,0.617,0.5820000000000001,0.255,0.645,0.19699999999999998,0.396,0.485,0.217,0.35,0.43,0.677,0.317,0.8029999999999999,2014-15,SacramentoSt.
Dylan Garrity,319,0.628,0.591,0.08800000000000001,0.679,0.368,0.292,0.516,0.375,0.621,0.409,0.802,0.313,0.83,2014-15,SacramentoSt.
Cody Demps,217,0.586,0.516,0.465,0.584,0.5589999999999999,0.419,0.484,0.409,0.115,0.24,1,0.5760000000000001,0.8,2014-15,SacramentoSt.
Nick Hornsby,185,0.511,0.48100000000000004,0.535,0.545,0.556,0.41100000000000003,0.382,0.414,0.054000000000000006,0.4,0.75,0.389,0.639,2014-15,SacramentoSt.
Eric Stuteville,183,0.537,0.525,0.6890000000000001,0.6509999999999999,0.732,0.301,0.255,0.643,0.011000000000000001,0,NA,0.41,0.573,2014-15,SacramentoSt.
Zach Mills,157,0.5700000000000001,0.5539999999999999,0.146,0.522,0.41700000000000004,0.47100000000000003,0.446,0.606,0.382,0.467,0.9640000000000001,0.17800000000000002,0.7140000000000001,2014-15,SacramentoSt.
Alex Tiffin,120,0.522,0.483,0.583,0.514,0.722,0.408,0.449,0.682,0.008,0,NA,0.33299999999999996,0.725,2014-15,SacramentoSt.
Dreon Barlett,59,0.6729999999999999,0.669,0.153,0.778,0.7140000000000001,0.153,0.444,0.5,0.695,0.46299999999999997,1,0.254,0.667,2014-15,SacramentoSt.
Marcus Graves,22,0.356,0.364,0.136,0.667,0.5,0.273,0,NA,0.591,0.308,1,0.045,0,2014-15,SacramentoSt.
Justin Strings,13,0.548,0.615,0.462,0.833,0.6,0.5379999999999999,0.429,0.33299999999999996,0,NA,NA,1,0.385,2014-15,SacramentoSt.
Mason Stuteville,11,0.28200000000000003,0.273,0.182,1,0,0.455,0.2,1,0.364,0,NA,0.273,0.33299999999999996,2014-15,SacramentoSt.
Trevis Jackson,5,0.588,0.5,0.6,0.33299999999999996,1,0,NA,NA,0.4,0.5,0,0.4,1,2014-15,SacramentoSt.
Jiday Ugbaja,4,0.33499999999999996,0.25,0.25,1,0,0,NA,NA,0.75,0,NA,0.25,1,2014-15,SacramentoSt.
James Herrick,2,0.6779999999999999,0.5,0.5,1,0,0.5,0,NA,0,NA,NA,1,1,2014-15,SacramentoSt.
"SWEENEY,IZIAHIAH",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,SacramentoSt.
Total,1729,0.58,0.547,0.337,0.605,0.526,0.368,0.441,0.406,0.295,0.408,0.8079999999999999,0.355,0.736,2014-15,SacramentoSt.
