name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Evan Kelley,375,0.498,0.473,0.525,0.579,0.474,0.344,0.364,0.128,0.131,0.22399999999999998,0.909,0.363,0.61,2014-15
Cane Broome,371,0.543,0.505,0.461,0.5379999999999999,0.391,0.18100000000000002,0.418,0.107,0.358,0.33799999999999997,0.556,0.315,0.752,2014-15
De'Von Barnett,247.00000000000003,0.587,0.5710000000000001,0.563,0.647,0.667,0.433,0.47700000000000004,0.608,0.004,0,NA,0.405,0.64,2014-15
Steve Glowiak,238,0.505,0.489,0.134,0.562,0.667,0.063,0.267,0.5,0.8029999999999999,0.33,0.794,0.139,0.6970000000000001,2014-15
Tevin Falzon,204,0.49699999999999994,0.434,0.706,0.507,0.397,0.21100000000000002,0.256,0.636,0.083,0.17600000000000002,1,0.593,0.6859999999999999,2014-15
Jordan Allen,175,0.599,0.623,0.857,0.6729999999999999,0.6629999999999999,0.14300000000000002,0.32,0.25,0,NA,NA,0.594,0.49,2014-15
Phil Gaetano,160,0.528,0.48100000000000004,0.156,0.28,0,0.106,0.235,0.25,0.738,0.373,0.705,0.225,0.917,2014-15
Filip Nowicki,69,0.556,0.551,0.71,0.633,0.71,0.29,0.35,0.7140000000000001,0,NA,NA,0.11599999999999999,0.625,2014-15
Chris Robinson,50,0.356,0.34,0.44,0.5,0.545,0.28,0.214,0.667,0.28,0.14300000000000002,1,0.44,0.409,2014-15
Cole Walton,10,0.411,0.4,0.9,0.444,0.75,0.1,0,NA,0,NA,NA,0.2,0.5,2014-15
Vince Fritz,7.000000000000001,0.357,0.35700000000000004,0.14300000000000002,1,1,0,NA,NA,0.857,0.16699999999999998,0,0,NA,2014-15
Eyimofe Edukugho,5,0.191,0,0.8,0,NA,0.2,0,NA,0,NA,NA,1.2,0.5,2014-15
"ALEXANDER,MALACHI",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,1911,0.528,0.502,0.493,0.575,0.535,0.23,0.371,0.36200000000000004,0.27699999999999997,0.319,0.716,0.358,0.647,2014-15
