name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Charles Jackson,62,0.281,0.258,0.62,0.124,0.162,0.5,2014-15
Dwan Caldwell,36,0.243,0.264,0.56,0.066,0.09,0.636,2014-15
Josiah Moore,25,0.267,0.306,0.625,0.022000000000000002,0,0,2014-15
Mason Ramsey,11,0.40700000000000003,0.353,0.545,0,0,NA,2014-15
Anthony Morse,9,0.21899999999999997,0.125,0.28600000000000003,0.083,0.1,0.5,2014-15
Javon McKay,7,0.09300000000000001,0.032,0.2,0.054000000000000006,0.053,0.5,2014-15
Deondre Haynes,2,0.055999999999999994,0.111,1,0.028999999999999998,0,0,2014-15
Josh Bougher,1,0.2,0,0,NA,NA,NA,2014-15
Shirmane Thomas,1,0.019,0.042,1,0,0,NA,2014-15
Total,154,0.187,0.18899999999999997,0.568,0.053,0.067,0.517,2014-15
