name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Emani Gant,27,0.13699999999999998,0.099,0.42100000000000004,0.048,0.016,0.125,2014-15
Cameron Naylor,16,0.161,0.135,0.467,0.008,0,0,2014-15
Kavin Gilder-Tilbury,14,0.191,0.28600000000000003,0.615,0.015,0,0,2014-15
Jamarcus Weatherspoon,10,0.096,0.071,0.375,0.036000000000000004,0.055999999999999994,0.5,2014-15
Kendell Ramlal,6,0.22699999999999998,0.385,1,0.053,0,0,2014-15
Wesley Davis,4,0.051,0.031,0.33299999999999996,0.015,0.034,1,2014-15
D.J. Brown,3,0.036000000000000004,0,0,0,0,NA,2014-15
Jonathan Wiley,2,0.33299999999999996,0.4,1,0,0,NA,2014-15
Austin Evans,1,0.16699999999999998,0.25,1,0,NA,NA,2014-15
Total,83,0.124,0.121,0.522,0.023,0.013999999999999999,0.214,2014-15
