name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Devaugntah Williams,272,0.536,0.496,0.331,0.522,0.255,0.162,0.159,0.5710000000000001,0.507,0.391,0.907,0.312,0.765,2014-15,TexasTech
Robert Turner,254,0.462,0.423,0.37,0.5429999999999999,0.275,0.205,0.192,0.3,0.425,0.287,0.742,0.272,0.725,2014-15,TexasTech
Toddrick Gotcher,191,0.522,0.48700000000000004,0.204,0.41,0.562,0.209,0.35,0.5,0.586,0.375,0.857,0.377,0.6809999999999999,2014-15,TexasTech
Norense Odiase,162,0.509,0.509,0.5489999999999999,0.64,0.456,0.444,0.33299999999999996,0.375,0.006,1,1,0.679,0.48200000000000004,2014-15,TexasTech
Keenan Evans,149,0.49100000000000005,0.423,0.389,0.5,0.276,0.255,0.263,0.2,0.35600000000000004,0.302,0.938,0.544,0.716,2014-15,TexasTech
Zach Smith,144,0.525,0.49,0.5,0.6809999999999999,0.551,0.368,0.264,0.643,0.132,0.263,1,0.583,0.619,2014-15,TexasTech
Randy Onwuasor,123,0.413,0.354,0.33299999999999996,0.512,0.19,0.293,0.16699999999999998,0.16699999999999998,0.374,0.239,0.727,0.488,0.633,2014-15,TexasTech
Isaiah Manderson,108,0.51,0.509,0.491,0.7170000000000001,0.711,0.5,0.315,0.353,0.009000000000000001,0,NA,0.47200000000000003,0.49,2014-15,TexasTech
Justin Gray,75,0.552,0.493,0.413,0.742,0.609,0.48,0.389,0.7140000000000001,0.107,0,NA,0.613,0.7170000000000001,2014-15,TexasTech
Aaron Ross,62,0.393,0.27399999999999997,0.306,0.368,0.5710000000000001,0.387,0.292,0.5710000000000001,0.306,0.105,1,0.484,0.867,2014-15,TexasTech
Justin Jamison,19,0.516,0.474,0.263,0.6,0,0.526,0.3,1,0.21100000000000002,0.5,0.5,0.474,0.667,2014-15,TexasTech
Alex Foster,19,0.44800000000000006,0.526,0.737,0.643,0.444,0.263,0.2,0,0,NA,NA,0.737,0.214,2014-15,TexasTech
Clark Lammert,16,0.397,0.406,0.625,0.4,0.25,0.188,0.33299999999999996,0,0.188,0.33299999999999996,1,0.875,0.35700000000000004,2014-15,TexasTech
Stan Mays,11,0.6759999999999999,0.636,0.091,1,1,0,NA,NA,0.909,0.4,0.5,0.727,0.75,2014-15,TexasTech
Luke Adams,5,0.377,0,0.2,0,NA,0.4,0,NA,0.4,0,NA,1.8,0.778,2014-15,TexasTech
Total,1610.0000000000002,0.49699999999999994,0.457,0.38299999999999995,0.575,0.425,0.29100000000000004,0.273,0.45299999999999996,0.325,0.32299999999999995,0.846,0.461,0.642,2014-15,TexasTech
