name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Taylor Johns,411.00000000000006,0.509,0.47600000000000003,0.562,0.606,0.593,0.345,0.29600000000000004,0.452,0.092,0.237,0.889,0.431,0.638,2014-15
Jaylen Bland,395,0.537,0.503,0.192,0.395,0.233,0.187,0.35100000000000003,0.308,0.62,0.38799999999999996,0.863,0.233,0.804,2014-15
Steven Thornton,224.00000000000003,0.529,0.478,0.24600000000000002,0.636,0.314,0.23199999999999998,0.231,0.16699999999999998,0.522,0.342,0.975,0.42,0.745,2014-15
Nick Gruninger,147,0.562,0.49700000000000005,0.252,0.622,0.304,0.272,0.425,0.059000000000000004,0.47600000000000003,0.314,0.8640000000000001,0.327,0.938,2014-15
Austin Quick,124,0.468,0.44799999999999995,0.379,0.489,0.348,0.177,0.455,0.2,0.444,0.273,0.867,0.379,0.5529999999999999,2014-15
Alex Larsson,111.00000000000001,0.461,0.46799999999999997,0.685,0.526,0.6,0.315,0.34299999999999997,0.33299999999999996,0,NA,NA,0.46799999999999997,0.40399999999999997,2014-15
Charles Standifer,84,0.396,0.363,0.27399999999999997,0.609,0.214,0.405,0.17600000000000002,0.33299999999999996,0.321,0.259,0.857,0.298,0.6,2014-15
Steven Jones,83,0.517,0.47600000000000003,0.41,0.5589999999999999,0.263,0.27699999999999997,0.304,0,0.313,0.34600000000000003,0.889,0.349,0.7240000000000001,2014-15
Robert Boezeman,60,0.596,0.575,0.5329999999999999,0.688,0.682,0.267,0.125,0.5,0.2,0.583,1,0.36700000000000005,0.682,2014-15
Colin Gruber,20,0.263,0.225,0.25,0.4,0.5,0.4,0.125,0,0.35,0.14300000000000002,1,0.1,1,2014-15
Cheick Thiero,17,0.724,0.706,0.647,0.818,0.778,0.353,0.5,0.667,0,NA,NA,0.11800000000000001,1,2014-15
Chris Tang,11,0.586,0.636,0.273,0.667,0,0.364,0.5,1,0.364,0.5,1,0.182,0,2014-15
Kristopher Acevedo,3,0.33299999999999996,0.33299999999999996,0,NA,NA,0.667,0.5,0,0.33299999999999996,0,NA,0,NA,2014-15
Brian Wright,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2014-15
Total,1691,0.513,0.479,0.373,0.57,0.47600000000000003,0.271,0.308,0.305,0.35700000000000004,0.34299999999999997,0.894,0.35,0.682,2014-15
