name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Michael Bryson,360,0.5740000000000001,0.539,0.242,0.69,0.5670000000000001,0.233,0.381,0.5,0.525,0.36,0.912,0.228,0.8540000000000001,2014-15,UCSantaBarbara
Alan Williams,349,0.524,0.45799999999999996,0.301,0.59,0.5,0.691,0.40700000000000003,0.653,0.009000000000000001,0,NA,0.48100000000000004,0.768,2014-15,UCSantaBarbara
John Green,321,0.535,0.52,0.29600000000000004,0.632,0.6,0.467,0.433,0.585,0.237,0.368,0.857,0.187,0.667,2014-15,UCSantaBarbara
Gabe Vincent,229,0.562,0.5479999999999999,0.14800000000000002,0.5589999999999999,0.158,0.253,0.36200000000000004,0.33299999999999996,0.598,0.41600000000000004,0.807,0.218,0.66,2014-15,UCSantaBarbara
Zalmico Harmon,155,0.51,0.435,0.168,0.462,0.25,0.355,0.273,0.067,0.47700000000000004,0.365,0.741,0.452,0.8140000000000001,2014-15,UCSantaBarbara
Mitch Brewe,103,0.504,0.48100000000000004,0.466,0.479,0.652,0.301,0.419,0.6920000000000001,0.233,0.375,1,0.35,0.611,2014-15,UCSantaBarbara
Dajuan Smith,84,0.48600000000000004,0.46399999999999997,0.524,0.636,0.607,0.39299999999999996,0.242,0.625,0.083,0.28600000000000003,1,0.345,0.586,2014-15,UCSantaBarbara
Eric Childress,83,0.464,0.40399999999999997,0.386,0.594,0.684,0.301,0.16,0.25,0.313,0.26899999999999996,0.5710000000000001,0.494,0.6829999999999999,2014-15,UCSantaBarbara
Sam Beeler,59,0.507,0.49200000000000005,0.5589999999999999,0.636,0.5710000000000001,0.441,0.308,0.375,0,NA,NA,0.254,0.6,2014-15,UCSantaBarbara
T.J. Taylor,45,0.533,0.5,0.111,0.4,0,0.111,0.2,1,0.778,0.371,0.6920000000000001,0.17800000000000002,0.875,2014-15,UCSantaBarbara
Alex Hart,22,0.606,0.568,0.136,0.667,0.5,0.273,0.5,1,0.591,0.385,1,0.5,0.727,2014-15,UCSantaBarbara
Hunter Ford,18,0.765,0.778,0.111,1,0,0,NA,NA,0.889,0.5,0.875,0.111,0.5,2014-15,UCSantaBarbara
Ami Lakoju,6,0.5,0.5,0.667,0.5,1,0.33299999999999996,0.5,1,0,NA,NA,0,NA,2014-15,UCSantaBarbara
Justin Burks,2,0.75,0.75,0,NA,NA,0,NA,NA,1,0.5,1,0,NA,2014-15,UCSantaBarbara
"NORELIA,MARC-EDDY",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,UCSantaBarbara
"MCKNIGHT,ERIC",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15,UCSantaBarbara
Total,1836,0.536,0.5,0.282,0.602,0.535,0.39,0.376,0.5539999999999999,0.32799999999999996,0.374,0.84,0.312,0.736,2014-15,UCSantaBarbara
