name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Devin Martin,322,0.56,0.514,0.289,0.527,0.34700000000000003,0.252,0.34600000000000003,0.28600000000000003,0.46,0.39899999999999997,0.831,0.345,0.802,2014-15,UMES
Michael Myers,285,0.621,0.595,0.779,0.667,0.561,0.2,0.35100000000000003,0.3,0.021,0.16699999999999998,1,0.9890000000000001,0.642,2014-15,UMES
Devon Walker,248,0.592,0.5770000000000001,0.157,0.615,0.875,0.105,0.423,0.545,0.738,0.39299999999999996,0.9440000000000001,0.125,0.8059999999999999,2014-15,UMES
Ryan Andino,182,0.603,0.588,0.044000000000000004,0.375,0,0.121,0.364,0.75,0.835,0.42100000000000004,1,0.14800000000000002,0.778,2014-15,UMES
Dominique Elliott,179,0.503,0.455,0.5589999999999999,0.61,0.557,0.363,0.292,0.789,0.078,0.071,1,0.5589999999999999,0.65,2014-15,UMES
Ishaq Pitt,137,0.48900000000000005,0.47100000000000003,0.701,0.521,0.2,0.263,0.361,0.231,0.036000000000000004,0.2,0,0.723,0.515,2014-15,UMES
Iman Johnson,104,0.4670000000000001,0.447,0.5770000000000001,0.5329999999999999,0.531,0.413,0.302,0.615,0.01,1,1,0.385,0.55,2014-15,UMES
Mark Blackmon,70,0.5760000000000001,0.514,0.457,0.562,0.16699999999999998,0.2,0.429,0.5,0.34299999999999997,0.33299999999999996,0.625,0.557,0.769,2014-15,UMES
Travis Trim,53,0.41200000000000003,0.425,0.604,0.406,0.308,0.245,0.385,0.2,0.151,0.375,0.33299999999999996,0.20800000000000002,0.273,2014-15,UMES
Isaac Smith,46,0.307,0.25,0.478,0.22699999999999998,0.4,0.174,0.25,0,0.348,0.188,0.667,0.5,0.522,2014-15,UMES
Shane Randall,22,0.34299999999999997,0.22699999999999998,0.455,0.3,0.667,0.545,0.16699999999999998,0,0,NA,NA,0.545,0.75,2014-15,UMES
Stephen Spurlock,12,0.539,0.5,0.583,0.5710000000000001,0.5,0.41700000000000004,0.4,0,0,NA,NA,0.5,0.667,2014-15,UMES
Total,1660.0000000000002,0.549,0.517,0.434,0.569,0.47600000000000003,0.23,0.33799999999999997,0.434,0.336,0.382,0.9009999999999999,0.47,0.6559999999999999,2014-15,UMES
