name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Kayel Locke,38,0.2,0.19699999999999998,0.619,0.077,0.079,0.41200000000000003,2014-15
RJ White,34,0.183,0.207,0.81,0.109,0.127,0.5379999999999999,2014-15
Marvin Smith,16,0.25,0.25,0.375,0.2,0.28600000000000003,0.25,2014-15
Tevon Saddler,14,0.07200000000000001,0.096,0.778,0.028999999999999998,0.045,0.6,2014-15
Ben Dickinson,10,0.24,0.308,0.667,0.235,0,0,2014-15
Jordy Kuiper,10,0.231,0.111,0.33299999999999996,0.138,0.214,0.75,2014-15
Diante Baldwin,8,0.024,0.038,1,0.065,0.077,0.33299999999999996,2014-15
Nicholas Paulos,3,0,0,NA,0.081,0.105,0.667,2014-15
Clay Byrd,1,0,0,NA,0.16699999999999998,0,0,2014-15
Asad Lamot,1,0.111,0,0,0,0,NA,2014-15
Total,135,0.136,0.14400000000000002,0.649,0.081,0.09,0.426,2014-15
