name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Delon Wright,324,0.619,0.5489999999999999,0.485,0.643,0.139,0.29,0.40399999999999997,0.026000000000000002,0.225,0.35600000000000004,0.5379999999999999,0.565,0.836,2014-15
Brandon Taylor,272,0.623,0.596,0.114,0.516,0.125,0.19899999999999998,0.426,0.174,0.688,0.439,0.8170000000000001,0.20600000000000002,0.857,2014-15
Jordan Loveridge,214,0.583,0.542,0.17300000000000001,0.568,0.429,0.248,0.264,0.28600000000000003,0.579,0.435,0.981,0.257,0.873,2014-15
Jakob Poeltl,188,0.63,0.6809999999999999,0.75,0.759,0.626,0.245,0.457,0.5710000000000001,0.005,0,NA,0.66,0.444,2014-15
Dakarai Tucker,167,0.591,0.557,0.24600000000000002,0.634,0.5,0.09,0.467,0.429,0.665,0.36,0.975,0.263,0.818,2014-15
Brekkott Chapman,146,0.584,0.545,0.26,0.632,0.667,0.445,0.415,0.63,0.295,0.442,0.9470000000000001,0.377,0.764,2014-15
Chris Reyes,125,0.49,0.47200000000000003,0.528,0.545,0.639,0.44799999999999995,0.35700000000000004,0.65,0.024,0.667,1,0.47200000000000003,0.542,2014-15
Dallin Bachynski,88,0.589,0.54,0.523,0.652,0.7,0.455,0.4,0.562,0.023,0.5,1,0.7390000000000001,0.6920000000000001,2014-15
Kyle Kuzma,79,0.536,0.525,0.266,0.762,0.375,0.304,0.375,0.556,0.43,0.324,1,0.456,0.556,2014-15
Kenneth Ogbe,70,0.5710000000000001,0.536,0.214,0.6,0.667,0.214,0.4,0.33299999999999996,0.5710000000000001,0.375,1,0.5,0.6859999999999999,2014-15
Isaiah Wright,46,0.5670000000000001,0.511,0.217,0.4,0,0.065,0,NA,0.7170000000000001,0.39399999999999996,1,0.478,0.773,2014-15
Jeremy Olsen,35,0.42700000000000005,0.4,0.514,0.444,0.75,0.486,0.353,0.33299999999999996,0,NA,NA,0.5710000000000001,0.5,2014-15
Austin Eastman,6,0.395,0.25,0.16699999999999998,0,NA,0.33299999999999996,0,NA,0.5,0.33299999999999996,1,1,0.667,2014-15
"IROEGBU,IKE",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-15
Total,1760.0000000000002,0.588,0.557,0.353,0.64,0.46,0.275,0.386,0.385,0.37200000000000005,0.40399999999999997,0.8859999999999999,0.43200000000000005,0.703,2014-15
