name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Garret Covington,359,0.52,0.46399999999999997,0.084,0.33299999999999996,0.3,0.423,0.408,0.161,0.493,0.35600000000000004,0.841,0.34,0.828,2014-15,WesternIll.
J.C. Fuller,301,0.498,0.462,0.203,0.508,0.32299999999999995,0.488,0.429,0.20600000000000002,0.309,0.32299999999999995,0.6,0.24600000000000002,0.77,2014-15,WesternIll.
Jabari Sandifer,200.99999999999997,0.441,0.41,0.27399999999999997,0.455,0.2,0.37799999999999995,0.342,0.308,0.348,0.3,0.905,0.33799999999999997,0.603,2014-15,WesternIll.
Mohamed Conde,138,0.515,0.493,0.5429999999999999,0.68,0.706,0.457,0.27,0.765,0,NA,NA,0.413,0.596,2014-15,WesternIll.
Jamie Batish,137,0.605,0.595,0.028999999999999998,0.75,1,0.182,0.44,0.909,0.7879999999999999,0.41700000000000004,0.978,0.08,0.818,2014-15,WesternIll.
Jalen Chapman,121,0.44200000000000006,0.42100000000000004,0.43799999999999994,0.528,0.39299999999999996,0.562,0.33799999999999997,0.348,0,NA,NA,0.413,0.52,2014-15,WesternIll.
Mike Miklusak,94,0.466,0.426,0.17,0.562,0.778,0.298,0.35700000000000004,0.3,0.532,0.28,1,0.223,0.81,2014-15,WesternIll.
Dalan Ancrum,92,0.436,0.408,0.261,0.5,0.25,0.37,0.17600000000000002,0.33299999999999996,0.37,0.382,1,0.228,0.667,2014-15,WesternIll.
Tate Stensgaard,56.99999999999999,0.593,0.561,0.667,0.684,0.731,0.316,0.33299999999999996,0.5,0.018000000000000002,0,NA,0.544,0.677,2014-15,WesternIll.
Remy Roberts-Burnett,37,0.355,0.35100000000000003,0.162,0.33299999999999996,0,0.73,0.29600000000000004,0.375,0.10800000000000001,0.5,1,0.21600000000000003,0.375,2014-15,WesternIll.
Tyson Renold,5,0.2,0.2,0.2,0,NA,0.8,0.25,0,0,NA,NA,0,NA,2014-15,WesternIll.
Devante Mayes,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2014-15,WesternIll.
Total,1543,0.49499999999999994,0.461,0.235,0.5429999999999999,0.49200000000000005,0.41700000000000004,0.36200000000000004,0.313,0.348,0.35,0.867,0.3,0.698,2014-15,WesternIll.
