name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Darius Carter,24,0.127,0.1,0.5329999999999999,0.053,0.043,0.33299999999999996,2014-15,WichitaSt.
Rashard Kelly,17,0.314,0.409,0.818,0.2,0.273,0.5,2014-15,WichitaSt.
Evan Wessel,8,0.217,0.16699999999999998,0.4,0.273,0.25,0.33299999999999996,2014-15,WichitaSt.
Shaq Morris,7,0.152,0.152,0.7140000000000001,0,0,NA,2014-15,WichitaSt.
Ron Baker,6,0.053,0.04,0.5,0,0,NA,2014-15,WichitaSt.
Bush Wamukota,6,0.154,0.28600000000000003,1,0.5,0.667,0.5,2014-15,WichitaSt.
Fred VanVleet,5,0.013999999999999999,0.013000000000000001,0.5,0.021,0,0,2014-15,WichitaSt.
Tevin Glass,5,0.16699999999999998,0.33299999999999996,1,0.222,0.16699999999999998,0.25,2014-15,WichitaSt.
Tekele Cotton,4,0.027000000000000003,0.015,0.33299999999999996,0.015,0.05,1,2014-15,WichitaSt.
Ria'N Holland,3,0.2,0.33299999999999996,1,0.154,0,0,2014-15,WichitaSt.
Rauno Nurger,3,0.14300000000000002,0.2,1,0.154,0.25,1,2014-15,WichitaSt.
Zach Brown,2,0.087,0.133,1,0,0,NA,2014-15,WichitaSt.
Total,90,0.087,0.09300000000000001,0.648,0.054000000000000006,0.057,0.39399999999999996,2014-15,WichitaSt.
