name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season
Xavier Cooks,20,0.16699999999999998,0.203,0.778,0.035,0.04,0.5,2014-15
Duby Okeke,18,0.24100000000000002,0.25,0.769,0.179,0.17600000000000002,0.6,2014-15
Tevin Prescott,17,0.19,0.2,0.75,0.07,0.125,0.8,2014-15
Keon Moore,9,0.059000000000000004,0.083,1,0.025,0.026000000000000002,0.33299999999999996,2014-15
Jarad Scott,9,0.231,0.188,0.5,0.16699999999999998,0.222,0.667,2014-15
Joseph Lopez,5,0.133,0.053,0.25,0.036000000000000004,0.062,1,2014-15
Derrick Henry,3,0.027999999999999997,0.053,1,0.048,0.062,0.5,2014-15
Josh Davenport,2,0,0,NA,0.061,0.1,0.5,2014-15
Keon Johnson,1,0,0,NA,0.017,0,0,2014-15
Total,84,0.105,0.126,0.7240000000000001,0.043,0.061,0.583,2014-15
