name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Reggie Arceneaux,229.99999999999997,0.468,0.452,0.091,0.47600000000000003,0.4,0.326,0.373,0.35700000000000004,0.583,0.32799999999999996,0.773,0.113,0.731,2014-15,WrightSt.
Michael Karena,224.00000000000003,0.539,0.54,0.446,0.65,0.6920000000000001,0.5539999999999999,0.452,0.607,0,NA,NA,0.317,0.507,2014-15,WrightSt.
Grant Benzinger,214,0.609,0.6,0.07,0.733,0.273,0.29,0.46799999999999997,0.621,0.64,0.431,1,0.17300000000000001,0.6759999999999999,2014-15,WrightSt.
JT Yoho,209,0.526,0.483,0.306,0.578,0.43200000000000005,0.344,0.389,0.46399999999999997,0.349,0.32899999999999996,0.833,0.287,0.8,2014-15,WrightSt.
Chrishawn Hopkins,198,0.514,0.462,0.379,0.547,0.22,0.34299999999999997,0.324,0.091,0.278,0.345,0.789,0.449,0.7190000000000001,2014-15,WrightSt.
Joe Thomasson,191,0.593,0.539,0.40299999999999997,0.688,0.358,0.28800000000000003,0.418,0.217,0.309,0.305,0.722,0.49700000000000005,0.779,2014-15,WrightSt.
Justin Mitchell,98,0.518,0.469,0.5820000000000001,0.474,0.37,0.418,0.46299999999999997,0.474,0,NA,NA,0.531,0.6729999999999999,2014-15,WrightSt.
Steven Davis,80,0.525,0.494,0.38799999999999996,0.71,0.5,0.212,0.41200000000000003,0.28600000000000003,0.4,0.21899999999999997,1,0.4,0.6559999999999999,2014-15,WrightSt.
Grant Evans,56.99999999999999,0.323,0.325,0.08800000000000001,0.4,0.5,0.263,0.2,0.33299999999999996,0.649,0.243,1,0.07,0.25,2014-15,WrightSt.
Mark Howell,38,0.41200000000000003,0.316,0.263,0.4,0.5,0.342,0.385,0.2,0.395,0.133,1,0.447,0.8240000000000001,2014-15,WrightSt.
Roderick Davis,37,0.538,0.568,0.541,0.6,0.833,0.45899999999999996,0.529,0.667,0,NA,NA,0.37799999999999995,0.35700000000000004,2014-15,WrightSt.
Kendall Griffin,34,0.708,0.647,0.235,0.75,0.667,0.08800000000000001,0.33299999999999996,0,0.6759999999999999,0.435,1,0.8240000000000001,0.821,2014-15,WrightSt.
Daniel Collie,7.000000000000001,0.357,0.35700000000000004,0,NA,NA,0.429,0.33299999999999996,1,0.5710000000000001,0.25,1,0,NA,2014-15,WrightSt.
Trey Stacey,2,0.75,0.75,0,NA,NA,0,NA,NA,1,0.5,1,0,NA,2014-15,WrightSt.
Total,1619.0000000000002,0.532,0.502,0.298,0.6,0.462,0.349,0.409,0.442,0.353,0.34,0.8809999999999999,0.324,0.695,2014-15,WrightSt.
