name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Corvon Butler,28,0.198,0.16699999999999998,0.56,0.031,0.023,0.33299999999999996,2015-16,AlabamaSt.
Bobby Brown,21,0.195,0.239,0.733,0.048,0.036000000000000004,0.2,2015-16,AlabamaSt.
Tony Armstrong,16,0.185,0.2,0.6,0.008,0.019,1,2015-16,AlabamaSt.
Mikel Tyson,13,0.24,0.21899999999999997,0.583,0.14300000000000002,0,0,2015-16,AlabamaSt.
Glenn Hollaway,7,0.263,0.25,0.8,0.105,0.111,0.5,2015-16,AlabamaSt.
Robert Ojeah,3,0.33299999999999996,0.6,1,0,0,NA,2015-16,AlabamaSt.
Torlorf Thomas,3,0.053,0.111,1,0.025,0,0,2015-16,AlabamaSt.
Steve Rogers,3,0.08800000000000001,0.1,0.667,0,0,NA,2015-16,AlabamaSt.
Jamel Waters,3,0.040999999999999995,0.049,0.667,0,0,NA,2015-16,AlabamaSt.
Terrance LeFlore,2,0,0,NA,0.03,0.062,0.5,2015-16,AlabamaSt.
Chidozie Omile,1,0.045,0,0,0,0,NA,2015-16,AlabamaSt.
Total,100,0.14400000000000002,0.159,0.643,0.022000000000000002,0.021,0.33299999999999996,2015-16,AlabamaSt.
