name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Devin Carter,400,0.588,0.568,0.215,0.616,0.377,0.258,0.408,0.14300000000000002,0.528,0.41700000000000004,0.852,0.292,0.701,2015-16,ArkansasSt.
Anthony Livingston,390,0.525,0.45899999999999996,0.308,0.5329999999999999,0.43799999999999994,0.47700000000000004,0.441,0.622,0.215,0.262,0.955,0.364,0.8590000000000001,2015-16,ArkansasSt.
Sean Gardner,305,0.45799999999999996,0.41,0.249,0.48700000000000004,0.405,0.325,0.313,0.161,0.426,0.292,0.763,0.239,0.836,2015-16,ArkansasSt.
Donte Thomas,192,0.539,0.47100000000000003,0.45799999999999996,0.602,0.094,0.41700000000000004,0.375,0.067,0.125,0.20800000000000002,1,0.8540000000000001,0.6709999999999999,2015-16,ArkansasSt.
Nouhoum Bocoum,158,0.528,0.48100000000000004,0.633,0.52,0.5379999999999999,0.354,0.429,0.45799999999999996,0.013000000000000001,0,NA,0.48100000000000004,0.6970000000000001,2015-16,ArkansasSt.
Frederic Dure,138,0.462,0.38,0.355,0.449,0.182,0.21,0.276,0,0.435,0.25,0.6,0.703,0.67,2015-16,ArkansasSt.
Charles Waters,110.00000000000001,0.508,0.46399999999999997,0.7,0.48100000000000004,0.486,0.29100000000000004,0.43799999999999994,0.857,0.009000000000000001,0,NA,0.364,0.725,2015-16,ArkansasSt.
Christian Davis,46,0.354,0.261,0.304,0.429,0.33299999999999996,0.63,0.207,0.667,0.065,0,NA,0.609,0.643,2015-16,ArkansasSt.
Josh Pierre,37,0.263,0.203,0.10800000000000001,0,NA,0.027000000000000003,0,NA,0.865,0.156,1,0.27,0.7,2015-16,ArkansasSt.
Kelvin Downs,35,0.6649999999999999,0.629,0.28600000000000003,0.5,0.8,0.7140000000000001,0.68,0.765,0,NA,NA,0.2,1,2015-16,ArkansasSt.
Connor Kern,26,0.5,0.5,0.154,0.75,0.667,0.077,0.5,0,0.769,0.3,1,0,NA,2015-16,ArkansasSt.
PJ Hardwick,18,0.359,0.25,0.278,0.2,0,0.556,0.2,0.5,0.16699999999999998,0.33299999999999996,0,0.667,0.667,2015-16,ArkansasSt.
Total,1855,0.514,0.46399999999999997,0.341,0.526,0.37799999999999995,0.35100000000000003,0.39399999999999996,0.409,0.307,0.316,0.833,0.413,0.7340000000000001,2015-16,ArkansasSt.
