name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Geoffrey Groselle,32,0.17800000000000002,0.175,0.75,0.078,0.077,0.5,2015-16,Creighton
Zach Hanson,26,0.225,0.195,0.652,0.065,0.05,0.33299999999999996,2015-16,Creighton
Khyri Thomas,10,0.10400000000000001,0.10400000000000001,0.625,0.048,0.091,0.5,2015-16,Creighton
Cole Huff,8,0.086,0.105,0.667,0.038,0.055999999999999994,0.75,2015-16,Creighton
Toby Hegner,6,0.294,0.28600000000000003,0.4,0.05,0,0,2015-16,Creighton
Ronnie Harrell,5,0.122,0.111,0.4,0,0,NA,2015-16,Creighton
Isaiah Zierden,3,0,0,NA,0.04,0.111,1,2015-16,Creighton
Martin Krampelj,3,0.273,0.25,0.667,0,NA,NA,2015-16,Creighton
Malik Albert,2,0.053,0.043,0.5,0,0,NA,2015-16,Creighton
James Milliken,2,0.013000000000000001,0,0,0,0,NA,2015-16,Creighton
Watson Maurice,2,0,0,NA,0.015,0.022000000000000002,0.5,2015-16,Creighton
Total,99,0.099,0.1,0.6409999999999999,0.035,0.046,0.529,2015-16,Creighton
