name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Nathan Ekwu,16,0.16699999999999998,0.11800000000000001,0.462,0.086,0.111,0.33299999999999996,2015-16,Davidson
Jordan Barham,13,0.086,0.096,0.7,0.046,0.042,0.33299999999999996,2015-16,Davidson
Andrew McAuliffe,8,0.11599999999999999,0.094,0.6,0.079,0,0,2015-16,Davidson
Peyton Aldridge,7,0.054000000000000006,0.075,1,0.006999999999999999,0,0,2015-16,Davidson
Jack Gibbs,5,0.027000000000000003,0.035,0.75,0.006,0.013000000000000001,1,2015-16,Davidson
Brian Sullivan,5,0,0,NA,0,0,NA,2015-16,Davidson
Jordan Watkins,1,0,0,NA,0.067,0,0,2015-16,Davidson
Jake Belford,1,0,0,NA,0.33299999999999996,0.5,1,2015-16,Davidson
Oskar Michelsen,1,0.111,0.14300000000000002,1,0,0,NA,2015-16,Davidson
Total,57,0.068,0.071,0.6579999999999999,0.023,0.018000000000000002,0.308,2015-16,Davidson
