name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Kory Holden,459,0.512,0.469,0.32899999999999996,0.43,0.015,0.28300000000000003,0.36200000000000004,0.043,0.38799999999999996,0.38799999999999996,0.6809999999999999,0.27699999999999997,0.795,2015-16
Marvin King-Davis,348,0.506,0.445,0.371,0.605,0.615,0.624,0.355,0.7140000000000001,0.006,0,NA,0.466,0.741,2015-16
Cazmon Hayes,307,0.4730000000000001,0.451,0.309,0.568,0.204,0.091,0.179,0.2,0.599,0.28800000000000003,0.9059999999999999,0.27,0.614,2015-16
Anthony Mosley,196,0.556,0.495,0.6940000000000001,0.493,0.239,0.158,0.29,0.444,0.14800000000000002,0.483,1,0.7140000000000001,0.7,2015-16
Maurice Jeffers,117,0.45599999999999996,0.402,0.547,0.5,0.531,0.45299999999999996,0.28300000000000003,0.467,0,NA,NA,0.855,0.56,2015-16
Devonne Pinkard,114.99999999999999,0.44800000000000006,0.413,0.139,0.43799999999999994,0.28600000000000003,0.217,0.36,0.111,0.643,0.284,0.857,0.226,0.731,2015-16
Skye Johnson,44,0.524,0.47700000000000004,0.614,0.593,0.5,0.386,0.294,0.6,0,NA,NA,0.727,0.625,2015-16
Chivarsky Corbett,34,0.47600000000000003,0.485,0.265,0.667,0.667,0.11800000000000001,0.75,0,0.618,0.23800000000000002,1,0.235,0.375,2015-16
Curtis McRoy,17,0.353,0.353,0,NA,NA,0,NA,NA,1,0.235,1,0,NA,2015-16
Barnett Harris,13,0.48700000000000004,0.462,0.385,0.8,0,0.615,0.25,0.5,0,NA,NA,1.385,0.5,2015-16
Sean Locke,10,0.35,0.3,0,NA,NA,0,NA,NA,1,0.2,0.5,0.3,0.667,2015-16
Curtis Lochner,4,0.101,0,0.25,0,NA,0.25,0,NA,0.5,0,NA,0.5,0.5,2015-16
Total,1664,0.49699999999999994,0.45299999999999996,0.38,0.52,0.325,0.309,0.335,0.43,0.311,0.325,0.815,0.42100000000000004,0.685,2015-16
