name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Tyler Cavanaugh,413.99999999999994,0.626,0.569,0.406,0.56,0.5,0.287,0.521,0.581,0.307,0.41700000000000004,1,0.488,0.8270000000000001,2015-16,GeorgeWashington
Patricio Garino,398,0.599,0.583,0.425,0.645,0.349,0.23600000000000002,0.38299999999999995,0.278,0.33899999999999997,0.43,1,0.266,0.6890000000000001,2015-16,GeorgeWashington
Kevin Larsen,331,0.5690000000000001,0.524,0.511,0.621,0.505,0.381,0.341,0.349,0.109,0.47200000000000003,1,0.498,0.721,2015-16,GeorgeWashington
Yuta Watanabe,263,0.523,0.48700000000000004,0.342,0.6,0.48100000000000004,0.23600000000000002,0.371,0.304,0.42200000000000004,0.306,1,0.35,0.7070000000000001,2015-16,GeorgeWashington
Joe McDonald,250,0.504,0.442,0.408,0.52,0.245,0.34,0.376,0.344,0.252,0.27,0.882,0.536,0.7090000000000001,2015-16,GeorgeWashington
Paul Jorgensen,177,0.45999999999999996,0.418,0.243,0.465,0.15,0.39,0.304,0.048,0.36700000000000005,0.33799999999999997,0.818,0.299,0.7170000000000001,2015-16,GeorgeWashington
Alex Mitola,168,0.514,0.452,0.095,0.375,0,0.268,0.289,0.385,0.637,0.355,0.895,0.33299999999999996,0.857,2015-16,GeorgeWashington
Matt Hart,112.00000000000001,0.583,0.545,0.205,0.522,0.25,0.28600000000000003,0.406,0.308,0.509,0.42100000000000004,0.875,0.23199999999999998,0.885,2015-16,GeorgeWashington
Jordan Roland,45,0.37,0.267,0.289,0.308,0.25,0.4,0.278,0.6,0.311,0.14300000000000002,1,0.489,0.773,2015-16,GeorgeWashington
Anthony Swan,30,0.4,0.4,0.2,0.5,0.33299999999999996,0.467,0.214,0.667,0.33299999999999996,0.4,1,0,NA,2015-16,GeorgeWashington
Collin Goss,5,0.084,0,0.4,0,NA,0.4,0,NA,0.2,0,NA,0.4,0.5,2015-16,GeorgeWashington
Matt Cimino,1,0,0,0,NA,NA,1,0,NA,0,NA,NA,0,NA,2015-16,GeorgeWashington
Total,2194,0.553,0.508,0.365,0.574,0.402,0.304,0.376,0.375,0.331,0.371,0.9520000000000001,0.391,0.753,2015-16,GeorgeWashington
