name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Kyle Wiltjer,31,0.172,0.203,0.727,0.036000000000000004,0.044000000000000004,0.5710000000000001,2015-16,Gonzaga
Domantas Sabonis,29,0.107,0.106,0.708,0.033,0.040999999999999995,0.6,2015-16,Gonzaga
Ryan Edwards,9,0.33299999999999996,0.389,0.778,0,0,NA,2015-16,Gonzaga
Eric McClellan,8,0.054000000000000006,0.053,0.5710000000000001,0.02,0,0,2015-16,Gonzaga
Kyle Dranginis,5,0.062,0.055999999999999994,0.5,0,0,NA,2015-16,Gonzaga
Josh Perkins,4,0.040999999999999995,0.07,0.75,0,0,NA,2015-16,Gonzaga
Silas Melson,3,0.019,0,0,0.039,0,0,2015-16,Gonzaga
Bryan Alberts,1,0.091,0.2,1,0,0,NA,2015-16,Gonzaga
Przemek Karnowski,1,0.045,0,0,0,0,NA,2015-16,Gonzaga
Dustin Triano,1,0.5,0.5,1,NA,NA,NA,2015-16,Gonzaga
Jack Beach,1,0.5,1,1,NA,NA,NA,2015-16,Gonzaga
Total,93,0.098,0.11,0.693,0.026000000000000002,0.027000000000000003,0.467,2015-16,Gonzaga
