name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Anthony Odunsi,324,0.615,0.495,0.503,0.583,0.284,0.377,0.377,0.13,0.12,0.33299999999999996,0.5379999999999999,0.938,0.8390000000000001,2015-16
Colter Lasher,285,0.538,0.53,0.37200000000000005,0.7170000000000001,0.355,0.281,0.3,0.20800000000000002,0.34700000000000003,0.34299999999999997,0.912,0.196,0.589,2015-16
Jourdan Stickler,214,0.537,0.519,0.15,0.406,0.385,0.28,0.28300000000000003,0.529,0.57,0.44299999999999995,0.981,0.11199999999999999,0.833,2015-16
Reveal Chukwujekwu,190,0.5770000000000001,0.529,0.45299999999999996,0.6629999999999999,0.281,0.389,0.365,0.37,0.158,0.36700000000000005,1,0.5529999999999999,0.7240000000000001,2015-16
Josh Ibarra,160,0.618,0.631,0.619,0.758,0.787,0.381,0.426,0.731,0,NA,NA,0.312,0.5,2015-16
Caleb Crayton,149,0.52,0.49,0.302,0.733,0.515,0.221,0.303,0.2,0.47700000000000004,0.282,0.65,0.409,0.639,2015-16
Asa Cantwell,143,0.593,0.58,0.049,0.7140000000000001,0.2,0.063,0.33299999999999996,0.667,0.888,0.39399999999999996,0.9,0.14,0.75,2015-16
Alex Fountain,132,0.537,0.466,0.106,0.643,0.778,0.598,0.38,0.33299999999999996,0.295,0.385,1,0.447,0.831,2015-16
Cody Stetler,95,0.524,0.489,0.42100000000000004,0.55,0.773,0.547,0.442,0.652,0.032,0.33299999999999996,1,0.41100000000000003,0.667,2015-16
Trey Patterson,66,0.5640000000000001,0.598,0.773,0.706,0.139,0.091,0.33299999999999996,0,0.136,0.111,1,0.8640000000000001,0.456,2015-16
Isaiah Robinson,60,0.613,0.617,0.55,0.727,0.708,0.433,0.5,0.615,0.017,0,NA,0.38299999999999995,0.565,2015-16
Terry Harris,35,0.506,0.44299999999999995,0.34299999999999997,0.833,0.4,0.429,0.267,0.25,0.22899999999999998,0.125,1,0.6859999999999999,0.667,2015-16
Stephen O'Suji,30,0.438,0.433,0.4,0.583,0.429,0.4,0.25,0,0.2,0.33299999999999996,1,0.3,0.444,2015-16
Gates Will,12,0.386,0.375,0.25,0.667,0.5,0.33299999999999996,0.25,1,0.41700000000000004,0.2,0,0.16699999999999998,0.5,2015-16
Evan Anderson,6,0.621,0.583,0.33299999999999996,0.5,0,0.33299999999999996,0.5,0,0.33299999999999996,0.5,1,1,0.667,2015-16
Nic Thomas,3,0,0,0.33299999999999996,0,NA,0.667,0,NA,0,NA,NA,0,NA,2015-16
"WILLIAMS,CJ",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-16
"JOHNSON,JARED",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-16
Total,1904,0.5650000000000001,0.526,0.371,0.659,0.44299999999999995,0.335,0.361,0.38299999999999995,0.295,0.364,0.887,0.441,0.718,2015-16
