name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Georges Niang,518,0.625,0.6,0.317,0.768,0.42100000000000004,0.40700000000000003,0.479,0.257,0.276,0.392,0.893,0.23,0.807,2015-16,IowaSt.
Monté Morris,386,0.561,0.536,0.33899999999999997,0.649,0.282,0.386,0.436,0.185,0.275,0.358,0.5529999999999999,0.249,0.7290000000000001,2015-16,IowaSt.
Abdel Nader,337,0.583,0.555,0.29100000000000004,0.765,0.5329999999999999,0.294,0.34299999999999997,0.294,0.415,0.371,0.9620000000000001,0.315,0.736,2015-16,IowaSt.
Matt Thomas,293,0.614,0.5920000000000001,0.065,0.632,0.41700000000000004,0.23199999999999998,0.41200000000000003,0.107,0.703,0.43200000000000005,0.843,0.14,0.902,2015-16,IowaSt.
Jameel McKay,243.00000000000003,0.597,0.605,0.6829999999999999,0.735,0.795,0.317,0.325,0.12,0,NA,NA,0.469,0.535,2015-16,IowaSt.
Deonte Burton,182,0.595,0.5820000000000001,0.478,0.701,0.508,0.313,0.316,0.278,0.209,0.474,0.833,0.34600000000000003,0.635,2015-16,IowaSt.
Nazareth Mitrou-Long,87,0.523,0.517,0.218,0.789,0.467,0.149,0.462,0.5,0.632,0.29100000000000004,1,0.115,0.6,2015-16,IowaSt.
Hallice Cooke,72,0.544,0.535,0.125,0.778,0.429,0.153,0.273,0,0.722,0.365,0.8420000000000001,0.153,0.636,2015-16,IowaSt.
Jordan Ashton,26,0.44200000000000006,0.442,0.154,0.5,1,0.154,0.5,0,0.6920000000000001,0.278,1,0,NA,2015-16,IowaSt.
Simeon Carter,10,0.438,0.5,0.6,0.833,0.8,0.4,0,NA,0,NA,NA,0.3,0,2015-16,IowaSt.
Brady Ernst,3,0.33299999999999996,0.33299999999999996,0.33299999999999996,0,NA,0.667,0.5,0,0,NA,NA,0,NA,2015-16,IowaSt.
Stuart Nezlek,2,0.5,0.5,0,NA,NA,1,0.5,1,0,NA,NA,0,NA,2015-16,IowaSt.
Total,2159,0.59,0.5710000000000001,0.326,0.7240000000000001,0.522,0.32299999999999995,0.40700000000000003,0.222,0.35100000000000003,0.387,0.846,0.261,0.7020000000000001,2015-16,IowaSt.
