name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Ron Curry,378,0.581,0.537,0.217,0.6459999999999999,0.132,0.27,0.41200000000000003,0.024,0.513,0.371,0.542,0.45799999999999996,0.746,2015-16,JamesMadison
Shakir Brown,273,0.548,0.509,0.249,0.5589999999999999,0.342,0.212,0.293,0.235,0.5379999999999999,0.381,0.75,0.271,0.8109999999999999,2015-16,JamesMadison
Jackson Kent,229.99999999999997,0.47200000000000003,0.43700000000000006,0.187,0.465,0.2,0.248,0.281,0.125,0.565,0.331,0.86,0.243,0.732,2015-16,JamesMadison
Yohanny Dalembert,212,0.537,0.542,0.708,0.653,0.49,0.292,0.27399999999999997,0.059000000000000004,0,NA,NA,0.486,0.485,2015-16,JamesMadison
Dimitrije Cabarkapa,187,0.629,0.612,0.28300000000000003,0.66,0.657,0.23,0.628,0.444,0.48700000000000004,0.385,1,0.134,0.84,2015-16,JamesMadison
Joey McLean,145,0.561,0.531,0.159,0.478,0.182,0.317,0.457,0.14300000000000002,0.524,0.395,0.9,0.2,0.828,2015-16,JamesMadison
Tom Vodanovich,145,0.562,0.545,0.524,0.684,0.48100000000000004,0.28300000000000003,0.439,0.222,0.193,0.214,1,0.386,0.625,2015-16,JamesMadison
Winston Grays III,126,0.5790000000000001,0.532,0.19,0.5,0.41700000000000004,0.175,0.455,0.7,0.635,0.375,0.9329999999999999,0.42100000000000004,0.774,2015-16,JamesMadison
Paulius Satkus,75,0.5720000000000001,0.527,0.507,0.6579999999999999,0.44,0.36,0.37,0,0.133,0.3,1,0.813,0.6559999999999999,2015-16,JamesMadison
Devontae Morgan,31,0.481,0.532,0.677,0.5710000000000001,0.5,0.19399999999999998,0.5,0,0.129,0.25,1,1,0.355,2015-16,JamesMadison
Ivan Lukic,24,0.538,0.45799999999999996,0.625,0.6,0.444,0.292,0.28600000000000003,0,0.083,0,NA,0.75,0.722,2015-16,JamesMadison
Kevin Kangni,19,0.22,0.184,0.316,0.16699999999999998,0,0.105,0.5,0,0.579,0.091,1,0.158,0.667,2015-16,JamesMadison
Matt Risse,3,1.167,1.167,0.667,1,1,0,NA,NA,0.33299999999999996,1,1,0,NA,2015-16,JamesMadison
Total,1848,0.554,0.524,0.325,0.612,0.408,0.256,0.389,0.185,0.419,0.359,0.7909999999999999,0.369,0.685,2015-16,JamesMadison
