name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Kevin Little,314,0.502,0.478,0.213,0.373,0.28,0.22,0.46399999999999997,0.21899999999999997,0.5670000000000001,0.348,0.726,0.146,0.804,2015-16,Maine
Aaron Calixte,265,0.547,0.502,0.374,0.515,0.17600000000000002,0.29100000000000004,0.40299999999999997,0.161,0.336,0.382,0.765,0.253,0.8809999999999999,2015-16,Maine
Devine Eke,200.99999999999997,0.5660000000000001,0.612,0.846,0.6709999999999999,0.64,0.14400000000000002,0.31,0.667,0.01,0,NA,0.542,0.36700000000000005,2015-16,Maine
Till Gloger,199,0.5710000000000001,0.5579999999999999,0.603,0.617,0.716,0.397,0.46799999999999997,0.568,0,NA,NA,0.28600000000000003,0.632,2015-16,Maine
Issac Vann,197,0.5710000000000001,0.51,0.391,0.5710000000000001,0.409,0.35,0.36200000000000004,0.04,0.259,0.41200000000000003,1,0.508,0.78,2015-16,Maine
Shaun Lawton,157,0.534,0.484,0.503,0.494,0.33299999999999996,0.185,0.24100000000000002,0.429,0.312,0.408,0.95,0.446,0.7290000000000001,2015-16,Maine
Troy Reid-Knight,138,0.44800000000000006,0.42,0.21,0.31,0,0.18100000000000002,0.4,0.1,0.609,0.31,0.9620000000000001,0.261,0.639,2015-16,Maine
Lavar Harewood,132,0.455,0.39799999999999996,0.41700000000000004,0.382,0.19,0.14400000000000002,0.158,0,0.439,0.32799999999999996,1,0.41700000000000004,0.7090000000000001,2015-16,Maine
Ilija Stojiljkovic,97,0.47600000000000003,0.474,0.34,0.485,0.188,0.155,0.4,0.16699999999999998,0.505,0.327,0.812,0.196,0.474,2015-16,Maine
Ryan Bernstein,96,0.42700000000000005,0.42700000000000005,0.41700000000000004,0.4,0.43799999999999994,0.156,0.467,0.14300000000000002,0.42700000000000005,0.293,0.917,0.156,0.4,2015-16,Maine
Garet Beal,49,0.526,0.48,0.14300000000000002,0.857,0.5,0.040999999999999995,0.5,0,0.816,0.275,0.727,0.306,0.8,2015-16,Maine
Marko Pirovic,38,0.388,0.355,0.342,0.5379999999999999,0.429,0.21100000000000002,0.25,0,0.447,0.17600000000000002,1,0.395,0.5329999999999999,2015-16,Maine
Walter King,11,0.374,0.364,0.727,0.375,0.33299999999999996,0.182,0.5,0,0.091,0,NA,0.455,0.4,2015-16,Maine
Garvey Melmed,10,0.457,0.45,0,NA,NA,0,NA,NA,1,0.3,1,0.2,0.5,2015-16,Maine
C.J. Ward,5,0.5,0.5,0.2,1,0,0,NA,NA,0.8,0.25,1,0,NA,2015-16,Maine
"CANTY,RYAN",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-16,Maine
Total,1909,0.518,0.49200000000000005,0.418,0.534,0.455,0.22899999999999998,0.39,0.26899999999999996,0.353,0.33899999999999997,0.851,0.32,0.6559999999999999,2015-16,Maine
