name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Anthony Elechi,43,0.20199999999999999,0.245,0.6859999999999999,0.154,0.22699999999999998,0.625,2015-16,MoreheadSt.
Dejuan Marrero,41,0.23,0.324,0.706,0.064,0.087,0.5710000000000001,2015-16,MoreheadSt.
Lyonell Gaines,26,0.192,0.175,0.609,0.053,0.062,0.33299999999999996,2015-16,MoreheadSt.
Treshaad Williams,12,0.212,0.16699999999999998,0.545,0.2,0,0,2015-16,MoreheadSt.
Brent Arrington,10,0.069,0.12300000000000001,0.875,0.006999999999999999,0,0,2015-16,MoreheadSt.
Lamontray Harris,8,0.19399999999999998,0,0,0.048,0.125,1,2015-16,MoreheadSt.
Ronnye Beamon,8,0.17800000000000002,0.182,0.5,0,0,NA,2015-16,MoreheadSt.
Xavier Moon,5,0.06,0.09300000000000001,1,0.01,0,0,2015-16,MoreheadSt.
Miguel Dicent,4,0.027000000000000003,0.043,1,0.035,0.095,1,2015-16,MoreheadSt.
Corban Collins,3,0.057,0.048,0.33299999999999996,0,0,NA,2015-16,MoreheadSt.
Ty'Quan Bitting,3,0.111,0.083,0.5,0.077,0.16699999999999998,1,2015-16,MoreheadSt.
Wes Noble,2,0.33299999999999996,NA,0,0.33299999999999996,0,0,2015-16,MoreheadSt.
Malik Maitland,1,0,0,NA,0.019,0.062,1,2015-16,MoreheadSt.
Total,166,0.151,0.174,0.632,0.038,0.06,0.5710000000000001,2015-16,MoreheadSt.
