name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season,team
Shawn Anderson,331,0.558,0.535,0.42,0.633,0.47700000000000004,0.35,0.457,0.321,0.23,0.316,0.917,0.375,0.653,2015-16,Navy
Tilman Dunbar,292,0.518,0.449,0.401,0.513,0.1,0.414,0.314,0.316,0.185,0.40700000000000003,0.818,0.589,0.727,2015-16,Navy
Jace Hogan,243.00000000000003,0.513,0.461,0.267,0.615,0.475,0.728,0.40700000000000003,0.667,0.004,0,NA,0.428,0.731,2015-16,Navy
Will Kelly,216,0.609,0.62,0.69,0.758,0.584,0.31,0.313,0.7140000000000001,0,NA,NA,0.662,0.545,2015-16,Navy
Tim Abruzzo,189,0.479,0.455,0.122,0.478,0.545,0.19,0.41700000000000004,0.33299999999999996,0.688,0.308,0.95,0.185,0.7140000000000001,2015-16,Navy
Kendall Knorr,103,0.45599999999999996,0.442,0.136,0.7859999999999999,0.455,0.252,0.34600000000000003,0.33299999999999996,0.612,0.27,0.8240000000000001,0.049,1,2015-16,Navy
Zach Fong,89,0.48900000000000005,0.461,0.055999999999999994,0.4,0.5,0.146,0.231,0.33299999999999996,0.7979999999999999,0.33799999999999997,1,0.146,0.846,2015-16,Navy
Tom Lacey,83,0.588,0.578,0.759,0.698,0.614,0.24100000000000002,0.2,0.75,0,NA,NA,1.1079999999999999,0.5760000000000001,2015-16,Navy
Edward Alade,75,0.5770000000000001,0.613,0.7070000000000001,0.679,0.583,0.293,0.455,0.8,0,NA,NA,0.253,0.263,2015-16,Navy
Bryce Dulin,68,0.415,0.368,0.265,0.444,0.5,0.191,0.385,0.6,0.544,0.21600000000000003,1,0.47100000000000003,0.594,2015-16,Navy
Nourse Fox,28.999999999999996,0.271,0.276,0.31,0.556,0.2,0.138,0,NA,0.552,0.125,0.5,0.034,0,2015-16,Navy
James Hemphill,20,0.536,0.6,0.8,0.625,0.4,0.2,0.5,0,0,NA,NA,0.25,0,2015-16,Navy
Ryan Pearson,14.000000000000002,0.389,0.39299999999999996,0,NA,NA,0.14300000000000002,0.5,0,0.857,0.25,1,0.214,0.33299999999999996,2015-16,Navy
Hasan Abdullah,11,0.182,0.182,0.273,0.667,0.5,0.091,0,NA,0.636,0,NA,0,NA,2015-16,Navy
Grant Vermeer,2,0,0,0.5,0,NA,0.5,0,NA,0,NA,NA,0,NA,2015-16,Navy
George Kiernan,2,0.5,0.5,0.5,1,1,0,NA,NA,0.5,0,NA,0,NA,2015-16,Navy
Nathan Messer,1,1.5,1.5,0,NA,NA,0,NA,NA,1,1,1,0,NA,2015-16,Navy
Total,1768,0.525,0.495,0.382,0.638,0.473,0.35200000000000004,0.374,0.494,0.265,0.301,0.915,0.423,0.64,2015-16,Navy
