name,fga,ts_percent,e_fg_percent,percent_shots_at_rim,fg_percent_at_rim,percent_assisted_at_rim,percent_shots_2pt_j,fg_percent_2pt_jumpers,percent_assisted_2pt_j,percent_of_shots_3pt,x3fg_percent,percent_assisted_3s,fta_fga,ft_percent,season
Emile Blackman,408,0.527,0.484,0.41200000000000003,0.5770000000000001,0.34,0.255,0.375,0.359,0.33299999999999996,0.301,0.78,0.282,0.809,2015-16
Matt Scott,346,0.514,0.444,0.379,0.55,0.125,0.292,0.34700000000000003,0.171,0.32899999999999996,0.272,0.8059999999999999,0.488,0.775,2015-16
Justin Satchell,200,0.485,0.47200000000000003,0.345,0.507,0.5429999999999999,0.29,0.483,0.643,0.365,0.28800000000000003,0.9520000000000001,0.13,0.654,2015-16
Marvin Prochet,192,0.4670000000000001,0.42700000000000005,0.359,0.507,0.5429999999999999,0.344,0.303,0.7,0.297,0.316,1,0.41700000000000004,0.638,2015-16
Karonn Davis,143,0.38,0.34600000000000003,0.196,0.35700000000000004,0.1,0.28,0.125,0,0.524,0.307,0.478,0.217,0.677,2015-16
Dominic Robb,139,0.58,0.561,0.662,0.652,0.617,0.33799999999999997,0.38299999999999995,0.389,0,NA,NA,0.324,0.667,2015-16
Cameron Fowler,123,0.38,0.37,0.423,0.48100000000000004,0.32,0.179,0.182,0,0.39799999999999996,0.22399999999999998,1,0.21100000000000002,0.462,2015-16
Chris Barton,111.00000000000001,0.48600000000000004,0.419,0.342,0.5529999999999999,0.19,0.18,0.3,0.5,0.47700000000000004,0.245,0.9229999999999999,0.414,0.7829999999999999,2015-16
Taylor Maurice,57.99999999999999,0.465,0.466,0.7240000000000001,0.524,0.591,0.207,0.16699999999999998,0,0.069,0.5,0.5,0.586,0.441,2015-16
Alioune Tew,32,0.438,0.469,0.812,0.5379999999999999,0.28600000000000003,0.188,0.16699999999999998,0,0,NA,NA,0.75,0.33299999999999996,2015-16
Romero Collier,10,0.1,0.1,0.3,0,NA,0.2,0.5,0,0.5,0,NA,0,NA,2015-16
Thomas Fleming,1,0,0,0,NA,NA,0,NA,NA,1,0,NA,0,NA,2015-16
Total,1763,0.48700000000000004,0.44799999999999995,0.40700000000000003,0.545,0.376,0.271,0.33299999999999996,0.39,0.322,0.282,0.812,0.33799999999999997,0.695,2015-16
