name,putbacks,percent_of_total_at_rim_shots_coming_on_putbacks,percent_of_total_made_baskets_at_rim_coming_on_putbacks,putback_fg_percent_at_rim,percent_of_total_2pt_jumpers_coming_on_putbacks,percent_of_total_made_2pt_jumpers_coming_on_putbacks,putback_fg_percent_2pt_jumpers,season,team
Jordan Butler,27,0.226,0.23800000000000002,0.731,0.018000000000000002,0,0,2015-16,NorfolkSt.
Alex Long,26,0.281,0.26899999999999996,0.56,0.017,0,0,2015-16,NorfolkSt.
Preston Bungei,22,0.292,0.324,0.632,0.048,0,0,2015-16,NorfolkSt.
D'Shon Taylor,18,0.172,0.21100000000000002,0.706,0.01,0.022000000000000002,1,2015-16,NorfolkSt.
Jonathan Wade,9,0.122,0.182,0.667,0,0,NA,2015-16,NorfolkSt.
Charles Oliver,7,0.048,0.025,0.25,0.065,0,0,2015-16,NorfolkSt.
Jeff Short,6,0.035,0.033,0.5,0.013000000000000001,0,0,2015-16,NorfolkSt.
Moses Toriola,2,0.4,NA,0,0,0,NA,2015-16,NorfolkSt.
Brian Kelley,1,0.037000000000000005,0,0,0,0,NA,2015-16,NorfolkSt.
Total,118,0.146,0.16699999999999998,0.617,0.018000000000000002,0.006,0.111,2015-16,NorfolkSt.
